"Name","Color Identity","Times Seen","Times Picked","Pick Rate","Avg Pick Position","Wheel Count","P1P1 Count","Elo"
"Snapcaster Mage","U","930","375","0.403","2.48","0","83","1575.1859690246054"
"Arid Mesa","","984","392","0.398","2.51","3","71","1610.5339310449915"
"Mystic Confluence","U","950","378","0.398","2.51","4","78","1562.2845509904341"
"Wurmcoil Engine","","975","380","0.390","2.57","1","9","1438.4169593868955"
"Mental Misstep","U","984","382","0.388","2.58","1","60","1512.8269911318946"
"Grief","B","918","355","0.387","2.59","3","71","1484.777942703415"
"True-Name Nemesis","U","1013","382","0.377","2.65","3","101","1474.2649463424389"
"Verdant Catacombs","","1014","374","0.369","2.71","8","73","1593.421722754714"
"Noble Hierarch","GUW","1034","364","0.352","2.84","14","102","1508.2191823343494"
"Liliana of the Veil","B","1067","374","0.351","2.85","5","53","1433.116104219324"
"Dark Confidant","B","1119","385","0.344","2.91","7","71","1381.813338343051"
"Force of Negation","U","1149","390","0.339","2.95","13","71","1626.3089573192024"
"Psychic Frog","BU","1141","373","0.327","3.06","16","90","1706.5042778093004"
"Sword of the Meek","","1174","381","0.325","3.08","11","55","1413.8463507389522"
"Narset, Parter of Veils","U","1216","391","0.322","3.11","10","75","1468.7604188367782"
"Toxic Deluge","B","1223","378","0.309","3.24","10","36","1446.975628346742"
"Giver of Runes","W","1280","395","0.309","3.24","11","31","1436.9026853664188"
"Goblin Rabblemaster","R","1291","396","0.307","3.26","19","88","1371.7700008786217"
"Dauthi Voidwalker","B","1259","386","0.307","3.26","14","35","1429.2510617037694"
"Dack Fayden","RU","1212","369","0.304","3.28","18","107","1514.4011317101968"
"Thraben Inspector","W","1259","376","0.299","3.35","9","2","1386.9599082680681"
"Dimir Signet","BU","1240","370","0.298","3.35","13","5","1295.1164011721216"
"Echo of Eons","U","1304","383","0.294","3.40","19","93","1547.177745764108"
"Sword of Fire and Ice","","1372","396","0.289","3.46","11","4","1405.9337734262087"
"Commander's Sphere","","1335","385","0.288","3.47","8","14","1448.2672729400397"
"Manifold Key","","1322","381","0.288","3.47","12","28","1538.0116503873262"
"Marionette Apprentice","B","1298","373","0.287","3.48","10","19","1386.9406623608888"
"Chthonian Nightmare","B","1445","414","0.287","3.49","17","74","1448.9134739523843"
"Painter's Servant","","1339","382","0.285","3.51","21","72","1454.0352324050186"
"The Meathook Massacre","B","1414","402","0.284","3.52","18","40","1378.818018901116"
"Mox Amber","","1361","385","0.283","3.54","13","33","1445.614258585973"
"Subtlety","U","1326","375","0.283","3.54","23","48","1432.3826071155604"
"Kappa Cannoneer","U","1271","357","0.281","3.56","22","65","1430.434021474195"
"Ignoble Hierarch","BGR","1348","377","0.280","3.58","24","82","1430.5515890704544"
"Baleful Strix","BU","1321","369","0.279","3.58","15","23","1430.9299610973674"
"Infernal Grasp","B","1383","383","0.277","3.61","15","2","1425.8333476490297"
"Chromatic Star","","1299","358","0.276","3.63","8","0","1414.7273519521873"
"Izzet Signet","RU","1424","391","0.275","3.64","20","22","1287.7305615086088"
"Steel Overseer","","1409","384","0.273","3.67","13","2","1387.9652397319494"
"Glen Elendra Archmage","U","1322","355","0.269","3.72","18","17","1361.2364953869246"
"Galvanic Discharge","R","1373","363","0.264","3.78","13","12","1439.7415307504277"
"Karn, the Great Creator","","1431","376","0.263","3.81","22","35","1426.4597827072857"
"Crucible of Worlds","","1455","380","0.261","3.83","28","50","1379.1150310691364"
"Fabled Passage","","1469","383","0.261","3.84","16","2","1488.041892635668"
"Solemn Simulacrum","","1484","386","0.260","3.84","15","0","1443.7097074963867"
"Wedding Announcement","W","1536","390","0.254","3.94","22","17","1392.225578432372"
"Azorius Signet","UW","1470","373","0.254","3.94","17","2","1296.6957107234687"
"Deathrite Shaman","BG","1553","389","0.250","3.99","35","39","1436.6468270946903"
"Ravenous Chupacabra","B","1430","355","0.248","4.03","20","3","1424.6361150052953"
"Mulldrifter","U","1605","398","0.248","4.03","24","13","1390.6644374457885"
"Thought Monitor","U","1428","352","0.246","4.06","21","6","1392.3748554878555"
"Phyrexian Revoker","","1591","387","0.243","4.11","17","0","1324.1283382594902"
"Abrade","R","1469","355","0.242","4.14","31","1","1417.5371529500517"
"Cranial Plating","B","1549","372","0.240","4.16","26","8","1398.5482172710613"
"Sai, Master Thopterist","U","1564","373","0.238","4.19","26","22","1338.3058868991695"
"Open the Way","G","1625","387","0.238","4.20","40","48","1423.0749659779492"
"Six","G","1681","400","0.238","4.20","34","42","1414.546023439852"
"Deadpool, Trading Card","BR","1583","376","0.238","4.21","28","36","1344.7656767932162"
"Mox Jasper","","1621","384","0.237","4.22","35","49","1415.676707781206"
"Collective Brutality","B","1678","396","0.236","4.24","32","0","1374.7816682550483"
"Prismatic Ending","W","1602","378","0.236","4.24","18","0","1358.6996019057874"
"Lingering Souls","BW","1599","377","0.236","4.24","29","9","1317.367788542553"
"Scrap Trawler","","1646","388","0.236","4.24","21","0","1366.5128424257773"
"Yawgmoth, Thran Physician","B","1600","377","0.236","4.24","38","60","1341.920191712861"
"Cyclonic Rift","U","1654","385","0.233","4.30","38","5","1450.3025956827498"
"Pack Rat","B","1678","390","0.232","4.30","31","10","1370.6370159821083"
"Ultimate Price","B","1671","388","0.232","4.31","25","0","1411.3249429399152"
"Emry, Lurker of the Loch","U","1704","395","0.232","4.31","37","34","1399.585620869976"
"Talisman of Dominance","BU","1560","358","0.229","4.36","33","0","1369.973163334218"
"Ranger-Captain of Eos","W","1722","392","0.228","4.39","26","0","1247.56966877811"
"Night's Whisper","B","1727","393","0.228","4.39","37","0","1346.959313289108"
"Digsite Engineer","W","1658","377","0.227","4.40","23","0","1296.034369434738"
"Mystic Forge","","1709","386","0.226","4.43","44","27","1360.1025559275663"
"Silence","W","1649","371","0.225","4.44","29","0","1294.319789069914"
"Traxos, Scourge of Kroog","","1757","395","0.225","4.45","28","0","1295.949238367036"
"Nowhere to Run","B","1712","384","0.224","4.46","35","0","1386.1669439975408"
"Ornithopter of Paradise","","1615","360","0.223","4.49","18","0","1403.1435919705195"
"Shriekmaw","B","1633","364","0.223","4.49","33","2","1443.9338390387518"
"Dragon's Rage Channeler","R","1719","383","0.223","4.49","41","31","1401.4134273328148"
"Ichor Wellspring","","1801","401","0.223","4.49","36","0","1355.1945226134364"
"Lodestone Golem","","1707","380","0.223","4.49","35","0","1331.3402379554093"
"Teshar, Ancestor's Apostle","W","1749","389","0.222","4.50","34","4","1353.764995858076"
"Elvish Mystic","G","1769","393","0.222","4.50","42","44","1434.5471293037838"
"Orzhov Signet","BW","1711","380","0.222","4.50","23","0","1253.5906728868817"
"Trinisphere","","1559","346","0.222","4.51","37","6","1364.599471908905"
"Etched Champion","","1743","386","0.221","4.52","36","0","1336.4858016330957"
"Recruiter of the Guard","W","1749","384","0.220","4.55","35","1","1270.801225825813"
"Consecrated Sphinx","U","1745","381","0.218","4.58","46","23","1393.982407544678"
"Accursed Marauder","B","1848","403","0.218","4.59","41","0","1395.5009563323847"
"Restoration Angel","W","1653","360","0.218","4.59","41","9","1317.7143162385478"
"Titania, Protector of Argoth","G","1717","372","0.217","4.62","55","70","1515.2302754395976"
"Unholy Heat","R","1773","383","0.216","4.63","36","0","1447.618834479006"
"Into the Flood Maw","U","1723","371","0.215","4.64","42","0","1374.943519302034"
"Hallowed Fountain","UW","1832","394","0.215","4.65","39","1","1438.6869911335325"
"Lightning Greaves","","1908","410","0.215","4.65","30","2","1380.5413441023675"
"Watery Grave","BU","1783","383","0.215","4.66","45","4","1461.1999385647614"
"Warren Soultrader","B","1832","393","0.215","4.66","47","34","1327.723235916026"
"Ugin, the Spirit Dragon","","1749","375","0.214","4.66","40","19","1335.8331549702484"
"Sword of Feast and Famine","","1868","400","0.214","4.67","31","0","1395.972235412553"
"Thalia, Heretic Cathar","W","1653","352","0.213","4.70","40","2","1359.3216362024016"
"Myr Battlesphere","","1755","371","0.211","4.73","36","0","1370.1577657713908"
"Banishing Light","W","1760","371","0.211","4.74","35","0","1328.685517296687"
"Expressive Iteration","RU","1718","362","0.211","4.75","54","27","1451.2892225903613"
"Treasure Cruise","U","2049","431","0.210","4.75","49","8","1387.557353300899"
"Brainsurge","U","1790","376","0.210","4.76","36","0","1382.1860218970055"
"White Orchid Phantom","W","1767","371","0.210","4.76","39","0","1237.409144342138"
"Persist","B","1980","415","0.210","4.77","57","45","1375.0144164826715"
"Simic Signet","GU","1852","388","0.210","4.77","47","0","1275.2471977278078"
"Sol Talisman","","1731","361","0.209","4.80","39","3","1443.826382318127"
"Machine God's Effigy","U","1727","360","0.208","4.80","39","0","1416.0849110076967"
"Gravecrawler","B","1906","395","0.207","4.83","45","24","1333.9269669266587"
"Tourach, Dread Cantor","B","1936","400","0.207","4.84","42","4","1320.653166716863"
"Nulldrifter","U","1899","392","0.206","4.84","46","0","1379.3958388259184"
"Eternal Witness","G","1752","361","0.206","4.85","41","3","1362.4190270925435"
"Gilded Lotus","","1784","367","0.206","4.86","44","0","1335.035215779931"
"Trinket Mage","U","1929","396","0.205","4.87","49","4","1376.9435717189626"
"Chromatic Lantern","","1959","402","0.205","4.87","38","0","1369.6909763721212"
"Thought Vessel","","1816","372","0.205","4.88","32","0","1398.3388744618587"
"Talisman of Creativity","RU","1866","382","0.205","4.88","52","1","1386.8389886299922"
"Zealous Conscripts","R","1888","386","0.204","4.89","52","5","1284.4201683564625"
"Mycosynth Lattice","","1891","384","0.203","4.92","50","8","1374.376884279467"
"Containment Priest","W","1814","367","0.202","4.94","44","0","1325.782339389721"
"Ephemerate","W","1898","383","0.202","4.96","52","26","1310.5287633558844"
"Kiki-Jiki, Mirror Breaker","R","1845","369","0.200","5.00","84","103","1362.637652481845"
"Chart a Course","U","1963","390","0.199","5.03","58","0","1345.3056987413977"
"Everflowing Chalice","","1950","387","0.198","5.04","43","0","1335.2047694327184"
"Sevinne's Reclamation","W","1860","367","0.197","5.07","48","0","1290.2185263374065"
"Courser of Kruphix","G","2076","405","0.195","5.13","58","0","1341.2429816606173"
"Deadly Dispute","B","1984","387","0.195","5.13","53","0","1325.5043514086115"
"Faithless Looting","R","2005","391","0.195","5.13","66","3","1414.015448448524"
"Sword of Hearth and Home","","1864","363","0.195","5.13","39","0","1346.1356904332922"
"Springleaf Drum","","1936","377","0.195","5.14","43","0","1285.3955737040171"
"Bone Shards","B","1870","364","0.195","5.14","48","0","1337.4385160794516"
"Sword of Light and Shadow","","2014","392","0.195","5.14","51","0","1335.7751728767923"
"Thoughtcast","U","1951","379","0.194","5.15","55","0","1326.0278680571641"
"Talisman of Progress","UW","1947","378","0.194","5.15","40","0","1363.789242823587"
"Executioner's Capsule","B","1974","383","0.194","5.15","50","0","1321.6102961386962"
"Sword of War and Peace","","2196","425","0.194","5.17","53","0","1346.9896007618913"
"Legion Warboss","R","1831","354","0.193","5.17","63","21","1378.7066580000187"
"Rakdos Signet","BR","2029","392","0.193","5.18","60","0","1266.9733702503563"
"Cursed Mirror","R","2073","400","0.193","5.18","56","0","1321.8629224230706"
"Nissa, Who Shakes the World","G","1871","360","0.192","5.20","67","36","1348.7385613862689"
"Prophetic Prism","","1878","360","0.192","5.22","46","0","1337.8495866428789"
"Talisman of Hierarchy","BW","2207","423","0.192","5.22","58","0","1230.2986838037716"
"Wayfarer's Bauble","","2021","386","0.191","5.24","49","0","1370.9141784292838"
"Void Mirror","","1905","362","0.190","5.26","55","10","1284.8602906357096"
"Noxious Gearhulk","B","1986","377","0.190","5.27","63","0","1337.1662109322754"
"Mox Tantalite","","1998","379","0.190","5.27","47","8","1414.5659890429383"
"Gingerbrute","","2055","388","0.189","5.30","56","0","1291.2127817679382"
"Steam Vents","RU","2003","378","0.189","5.30","67","13","1468.2587110487243"
"Utopia Sprawl","G","1962","370","0.189","5.30","76","18","1311.9225655070672"
"Blind Obedience","W","1885","355","0.188","5.31","42","0","1336.1123674616047"
"Godless Shrine","BW","2120","399","0.188","5.31","68","0","1338.0071379199435"
"Tatyova, Benthic Druid","GU","2158","406","0.188","5.32","79","37","1275.7964117890717"
"Nissa, Resurgent Animist","G","2132","400","0.188","5.33","65","9","1362.4065279042823"
"Archmage's Charm","U","2143","402","0.188","5.33","71","1","1323.3143067250364"
"Flare of Denial","U","2100","391","0.186","5.37","72","0","1315.2915282595682"
"Morbid Opportunist","B","1903","354","0.186","5.38","56","0","1371.5002581040824"
"Monoskelion","","2052","381","0.186","5.39","61","0","1281.997313457323"
"Cathar Commando","W","2142","396","0.185","5.41","66","0","1287.2938614356246"
"Metallic Mimic","","2040","377","0.185","5.41","55","0","1332.8078834944154"
"Volatile Stormdrake","U","2044","376","0.184","5.44","66","2","1345.4650390841837"
"Dig Through Time","U","2249","412","0.183","5.46","80","0","1309.5437983543438"
"Ice-Fang Coatl","GU","2067","378","0.183","5.47","65","5","1259.4226535402613"
"Bolas's Citadel","B","2202","402","0.183","5.48","91","31","1340.1475764141198"
"Mazemind Tome","","2115","386","0.183","5.48","63","0","1311.5438212871986"
"Hedron Archive","","1962","357","0.182","5.50","57","0","1249.160613531772"
"Breeding Pool","GU","2027","368","0.182","5.51","70","1","1420.3004404376727"
"Asmoranomardicadaistinaculdacar","BR","2105","382","0.181","5.51","79","23","1292.296786542679"
"Repeal","U","2147","389","0.181","5.52","72","0","1298.0057941315692"
"Relic of Progenitus","","2072","375","0.181","5.53","49","0","1246.6287014105712"
"Mentor of the Meek","W","2210","399","0.181","5.54","70","0","1306.1396716420759"
"Tempered Steel","W","2269","409","0.180","5.55","75","8","1324.5405153540332"
"Boros Signet","RW","2061","369","0.179","5.59","60","0","1255.631916890494"
"Blood Artist","B","2191","392","0.179","5.59","79","10","1317.3153676832858"
"Whirler Rogue","U","2231","399","0.179","5.59","71","0","1328.9592264881953"
"Ambitious Farmhand","W","2256","402","0.178","5.61","83","0","1302.6586140936035"
"Scholar of New Horizons","W","2251","401","0.178","5.61","79","1","1292.8663871163826"
"Metastatic Evangel","W","1993","355","0.178","5.61","69","2","1304.239852237615"
"Fiend Hunter","W","2066","368","0.178","5.61","61","0","1286.8746978654574"
"Servo Schematic","","2075","369","0.178","5.62","55","0","1362.6073589533034"
"Tezzeret, Agent of Bolas","BU","2031","361","0.178","5.63","79","25","1292.4899012133023"
"Damn","BW","2105","373","0.177","5.64","63","0","1250.1054231601333"
"Tireless Provisioner","G","2107","373","0.177","5.65","66","1","1344.9612562036953"
"Goblin Guide","R","2222","393","0.177","5.65","96","58","1350.8849510548366"
"Foundry Inspector","","2223","393","0.177","5.66","82","0","1258.7584878913972"
"Voldaren Epicure","R","2173","384","0.177","5.66","72","0","1287.069249175522"
"Elspeth, Sun's Champion","W","2245","396","0.176","5.67","81","5","1355.372390064588"
"Talisman of Conviction","RW","2032","358","0.176","5.68","73","0","1252.6371259076966"
"Young Pyromancer","R","2248","395","0.176","5.69","94","36","1371.8461368780063"
"Sakura-Tribe Elder","G","2239","393","0.176","5.70","80","1","1383.6953339268093"
"Thopter Shop","W","2051","360","0.176","5.70","64","1","1300.9228649128193"
"Chalice of the Void","","2189","384","0.175","5.70","71","0","1335.9783840389712"
"Wrath of the Skies","W","2288","400","0.175","5.72","80","0","1278.2110917505383"
"Chief of the Foundry","","2197","384","0.175","5.72","71","0","1238.549413000588"
"Karn, Legacy Reforged","","2176","380","0.175","5.73","65","1","1317.919118890845"
"Sacred Foundry","RW","2148","374","0.174","5.74","75","0","1391.154236733568"
"Craterhoof Behemoth","G","2303","399","0.173","5.77","113","77","1297.8506821759013"
"Angel of the Ruins","W","2077","359","0.173","5.79","66","0","1281.403368357365"
"Dreadhorde Arcanist","R","2183","377","0.173","5.79","91","23","1385.010046164963"
"Syr Konrad, the Grim","B","2375","409","0.172","5.81","92","0","1360.4526722976682"
"Profane Tutor","B","2225","383","0.172","5.81","87","0","1362.3574288673328"
"Blood Crypt","BR","2156","371","0.172","5.81","82","0","1411.9186885112258"
"Rotting Regisaur","B","1954","336","0.172","5.82","71","1","1327.4341072788725"
"Leyline Immersion","G","2032","348","0.171","5.84","81","36","1190.7665193256269"
"Tidehollow Sculler","BW","2068","354","0.171","5.84","67","0","1230.0530237628682"
"Flickerwisp","W","2146","367","0.171","5.85","73","0","1261.8536201675283"
"Swiftfoot Boots","","2245","383","0.171","5.86","76","0","1368.0354328816447"
"Hard Evidence","U","2228","380","0.171","5.86","81","0","1262.1820537202918"
"Talisman of Curiosity","GU","2329","397","0.170","5.87","98","0","1329.611949450179"
"Master of Etherium","U","2258","384","0.170","5.88","85","0","1300.5617622409375"
"Talisman of Indulgence","BR","2334","396","0.170","5.89","88","0","1279.4771874633834"
"Compulsive Research","U","2326","394","0.169","5.90","85","0","1319.498724706329"
"Urza, Chief Artificer","BUW","2286","385","0.168","5.94","115","63","1271.0179858945035"
"Day's Undoing","U","2223","374","0.168","5.94","99","16","1383.909682262545"
"Losheel, Clockwork Scholar","W","2317","389","0.168","5.96","81","0","1276.7863617923763"
"Strike It Rich","R","2249","376","0.167","5.98","84","0","1322.0793337192495"
"Memory Deluge","U","2221","371","0.167","5.99","87","0","1374.0622481460255"
"Sling-Gang Lieutenant","B","2362","393","0.166","6.01","89","0","1324.4498852499378"
"Serra the Benevolent","W","2348","389","0.166","6.04","87","2","1323.2057695178544"
"Thirst for Knowledge","U","2264","375","0.166","6.04","80","0","1300.5198092186404"
"Monastery Swiftspear","R","2375","392","0.165","6.06","103","29","1349.8797970481135"
"Soul-Guide Lantern","","2402","396","0.165","6.07","71","0","1366.3885584638422"
"Sram, Senior Edificer","W","2300","378","0.164","6.08","92","0","1299.5743835636408"
"Timeless Dragon","W","2385","391","0.164","6.10","99","0","1294.9026534512418"
"Flusterstorm","U","2373","389","0.164","6.10","92","0","1410.646851686079"
"Farseek","G","2306","378","0.164","6.10","83","0","1375.2823352586224"
"Paradoxical Outcome","U","2386","390","0.163","6.12","104","20","1335.565607902016"
"Emrakul, the World Anew","","2353","383","0.163","6.14","97","7","1334.8874564785256"
"Condemn","W","2308","375","0.162","6.15","90","0","1358.9335993599202"
"Emrakul, the Promised End","","2262","367","0.162","6.16","96","9","1353.188071457078"
"Aether Spike","U","2428","393","0.162","6.18","105","0","1336.6719364141902"
"Necroduality","U","2342","378","0.161","6.20","94","42","1227.5655791391289"
"Thopter Spy Network","U","2417","390","0.161","6.20","93","0","1342.6735579669964"
"Aven Mindcensor","W","2327","374","0.161","6.22","99","0","1219.9215970808768"
"Flare of Malice","B","2539","408","0.161","6.22","100","0","1203.7750277258622"
"Hullbreaker Horror","U","2443","392","0.160","6.23","108","0","1358.1294294040713"
"Cryptbreaker","B","2477","397","0.160","6.24","97","0","1302.9656683620665"
"Spark Double","U","2297","368","0.160","6.24","92","0","1344.6005940482162"
"Unstable Amulet","R","2501","399","0.160","6.27","98","0","1276.335891960847"
"Jolted Awake","W","2439","389","0.159","6.27","94","0","1228.8987645333013"
"Feed the Swarm","B","2277","363","0.159","6.27","86","0","1342.0588231676793"
"Vindictive Lich","B","2525","402","0.159","6.28","100","0","1326.6112941152237"
"Sword of Sinew and Steel","","2500","398","0.159","6.28","95","0","1318.2848750342305"
"Etherium Sculptor","U","2527","402","0.159","6.29","105","0","1286.4079531041368"
"Oni-Cult Anvil","BR","2330","370","0.159","6.30","101","9","1306.7827216417998"
"Through the Breach","R","2385","378","0.158","6.31","143","88","1332.9235340937926"
"Lightning Helix","RW","2289","362","0.158","6.32","105","0","1330.6243640242706"
"Tragic Slip","B","2468","390","0.158","6.33","95","0","1339.1975166485113"
"Sword of Truth and Justice","","2385","376","0.158","6.34","99","0","1405.5561015154904"
"Hopeful Initiate","W","2380","374","0.157","6.36","94","0","1300.7279896767595"
"Dark Depths","","2578","404","0.157","6.38","141","69","1325.1595618728306"
"Sorin, Imperious Bloodlord","B","2529","396","0.157","6.39","142","64","1381.6871055245836"
"Cathars' Crusade","W","2522","394","0.156","6.40","106","2","1329.4391798812444"
"Urza, Prince of Kroog","UW","2337","365","0.156","6.40","93","0","1257.5871846071677"
"Zulaport Cutthroat","B","2510","392","0.156","6.40","109","3","1315.4468935990296"
"Flare of Cultivation","G","2575","402","0.156","6.41","111","0","1235.8749797573466"
"Archangel Avacyn","RW","2321","362","0.156","6.41","96","1","1301.038107770772"
"Lavinia, Foil to Conspiracy","UW","2407","375","0.156","6.42","93","0","1287.3975181770427"
"Lyra Dawnbringer","W","2455","382","0.156","6.43","106","2","1350.630694340295"
"Party Thrasher","R","2430","378","0.156","6.43","99","0","1296.6181881324721"
"Bloodline Keeper","B","2452","381","0.155","6.44","107","3","1349.2406983001347"
"Universal Automaton","","2536","394","0.155","6.44","100","0","1258.3216519963694"
"Aetherflux Reservoir","","2463","382","0.155","6.45","120","9","1384.7562576784367"
"Faith's Fetters","W","2447","377","0.154","6.49","102","0","1290.6654019514667"
"Lunarch Veteran","W","2527","389","0.154","6.50","102","0","1299.5854849780608"
"Prairie Stream","UW","2527","388","0.154","6.51","111","0","1296.2969264504486"
"Marionette Master","B","2379","365","0.153","6.52","103","0","1352.2678878097202"
"Master Transmuter","U","2357","361","0.153","6.53","97","0","1308.7777765509811"
"Talisman of Impulse","GR","2663","407","0.153","6.54","124","0","1258.4431036971546"
"Scavenged Brawler","","2461","376","0.153","6.55","105","0","1290.1299220213332"
"Persistent Petitioners","U","2437","372","0.153","6.55","109","14","1220.947955416827"
"Mine Collapse","R","2354","358","0.152","6.58","98","0","1280.6371860050017"
"Monstrous Rage","R","2576","391","0.152","6.59","119","0","1326.2387650225562"
"Liquimetal Torque","","2370","359","0.151","6.60","94","0","1352.828677547549"
"Thing in the Ice","U","2520","381","0.151","6.61","118","10","1315.5765303160229"
"Bronze Guardian","W","2571","388","0.151","6.63","112","0","1248.5406979254603"
"Generous Gift","W","2570","386","0.150","6.66","110","0","1310.5426419915907"
"Avacynian Priest","W","2606","389","0.149","6.70","117","0","1209.6502738662277"
"Sculpting Steel","","2537","378","0.149","6.71","105","0","1319.8980752317054"
"Krenko, Mob Boss","R","2519","375","0.149","6.72","129","27","1336.7446830984038"
"Life from the Loam","G","2683","399","0.149","6.72","130","18","1326.867250283311"
"Razortide Bridge","UW","2671","397","0.149","6.73","116","0","1243.7427548625408"
"Brainstone","","2491","370","0.149","6.73","114","0","1217.5942912118458"
"Fain, the Broker","B","2693","400","0.149","6.73","128","0","1296.5551374533507"
"Cloud Key","","2431","361","0.148","6.73","117","0","1287.5462128852876"
"Pithing Needle","","2378","353","0.148","6.74","110","0","1281.44919594685"
"Goblin Engineer","R","2648","393","0.148","6.74","130","2","1369.7258774303523"
"Farhaven Elf","G","2677","396","0.148","6.76","109","0","1372.5236022126758"
"Gurmag Angler","B","2491","367","0.147","6.79","126","0","1277.704406318641"
"Soulherder","UW","2811","413","0.147","6.81","165","46","1280.9665626914784"
"Mikaeus, the Unhallowed","B","2635","387","0.147","6.81","127","0","1356.9186105933647"
"Steel Hellkite","","2575","378","0.147","6.81","126","0","1232.1768714067005"
"Dress Down","U","2633","384","0.146","6.86","120","0","1244.385996924553"
"Sanwell, Avenger Ace","W","2567","373","0.145","6.88","123","0","1208.0565063154233"
"Palladium Myr","","2540","369","0.145","6.88","127","0","1316.096454975482"
"Crystal Shard","U","2691","389","0.145","6.92","137","0","1356.1007433787254"
"Herald of Anguish","B","2644","382","0.144","6.92","124","0","1305.0436385736664"
"Necrodominance","B","2575","372","0.144","6.92","138","7","1262.1263181293757"
"Thragtusk","G","2615","377","0.144","6.94","122","0","1372.9241703735133"
"Dread Return","B","2762","398","0.144","6.94","134","0","1340.1595433345856"
"Read the Bones","B","2561","369","0.144","6.94","114","0","1282.4582071849488"
"Drown in the Loch","BU","2606","375","0.144","6.95","119","0","1230.9542176394734"
"The Underworld Cookbook","","2901","417","0.144","6.96","133","0","1288.1008726207592"
"Sunken Hollow","BU","2736","393","0.144","6.96","122","0","1332.1905353691625"
"Golgari Signet","BG","2835","406","0.143","6.98","136","0","1208.5753423383878"
"River of Tears","BU","2781","398","0.143","6.99","125","0","1269.1249442356545"
"Pristine Talisman","","2691","385","0.143","6.99","124","0","1252.2132685987187"
"Tribute Mage","U","2730","390","0.143","7.00","130","0","1260.882426146278"
"Crypt Ghast","B","2749","392","0.143","7.01","133","1","1246.8155999864462"
"Mayhem Devil","BR","2618","373","0.142","7.02","145","30","1259.5739069922238"
"Baral, Chief of Compliance","U","2576","367","0.142","7.02","127","2","1278.4436203952578"
"Feldon of the Third Path","R","2555","364","0.142","7.02","126","0","1283.0348776141466"
"Goldmire Bridge","BW","2646","376","0.142","7.04","122","0","1179.0681642064524"
"Arboreal Grazer","G","2753","391","0.142","7.04","131","0","1346.146847538682"
"Idol of Oblivion","","2691","382","0.142","7.04","128","0","1360.6962128766447"
"Mirror Entity","W","2854","404","0.142","7.06","139","0","1261.425083983041"
"Spell Queller","UW","2713","384","0.142","7.07","140","1","1288.5381710650522"
"Ash Barrens","","2878","407","0.141","7.07","142","0","1331.973617481147"
"Coiling Oracle","GU","2655","374","0.141","7.10","123","0","1227.5966759653058"
"Grim Servant","B","2621","369","0.141","7.10","131","0","1232.8838791196422"
"Irrigated Farmland","UW","2756","388","0.141","7.10","133","0","1304.3263878468485"
"Terramorphic Expanse","","2750","387","0.141","7.11","135","0","1438.773055665739"
"Bloodtithe Harvester","BR","2758","388","0.141","7.11","145","0","1285.3855949148924"
"Heirloom Blade","","2518","354","0.141","7.11","118","0","1274.3922677558874"
"Headless Rider","B","2698","379","0.140","7.12","128","0","1272.9587974388216"
"Devouring Light","W","2637","370","0.140","7.13","139","0","1232.5154027142132"
"Vampire Hexmage","B","2665","373","0.140","7.14","134","1","1227.4715487854085"
"Gruul Signet","GR","2753","384","0.139","7.17","139","0","1217.45469218106"
