"Name","Color Identity","Times Seen","Times Picked","Pick Rate","Avg Pick Position","Wheel Count","P1P1 Count","Elo"
"Rampant Growth","G","2129","500","0.235","4.26","39","1","1365.163782431069"
"Spell Pierce","U","2132","500","0.235","4.26","37","16","1438.522180208868"
"Duress","B","2146","500","0.233","4.29","40","25","1466.4278315827726"
"Wood Elves","G","2176","500","0.230","4.35","32","0","1347.315185829989"
"Hammer of Bogardan","R","2219","500","0.225","4.44","48","7","1341.2755329055462"
"Wrath of God","W","2224","500","0.225","4.45","56","44","1323.850809144327"
"Abyssal Specter","B","2305","500","0.217","4.61","39","0","1276.840825415922"
"Serendib Efreet","U","2313","500","0.216","4.63","71","78","1354.075439025065"
"Mahamoti Djinn","U","2321","500","0.215","4.64","56","67","1346.595129243828"
"Ravenous Rats","B","2358","500","0.212","4.72","45","0","1336.2088371352331"
"Roc of Kher Ridges","R","2367","500","0.211","4.73","36","2","1369.2714086061367"
"City of Brass","","4750","1000","0.211","4.75","91","1","1425.7491069546309"
"Erhnam Djinn","G","2387","500","0.209","4.77","64","50","1318.0294509261053"
"Shivan Dragon","R","2389","500","0.209","4.78","79","76","1298.155919821432"
"Crypt Rats","B","2399","500","0.208","4.80","62","24","1325.1579995694258"
"Untamed Wilds","G","2407","500","0.208","4.81","57","6","1258.3083071221465"
"Regrowth","G","2433","500","0.206","4.87","64","0","1333.2384019756923"
"Goblin Recruiter","R","2445","500","0.204","4.89","66","52","1327.0647668366003"
"Basalt Monolith","","2451","500","0.204","4.90","89","84","1474.6425471365014"
"Savannah Lions","W","2458","500","0.203","4.92","67","0","1251.4444357695404"
"Marble Diamond","W","2474","500","0.202","4.95","49","0","1289.922897210203"
"Psionic Blast","U","2484","500","0.201","4.97","60","1","1346.8119256703328"
"Remove Soul","U","2534","500","0.197","5.07","65","0","1396.599694662889"
"Portent","U","2537","500","0.197","5.07","76","1","1367.3121729589293"
"Berserk","G","2576","500","0.194","5.15","84","68","1293.7191942411066"
"Intrepid Hero","W","2594","500","0.193","5.19","78","0","1202.9904548803217"
"Ashes to Ashes","B","2607","500","0.192","5.21","68","6","1334.9151062674239"
"Desertion","U","2616","500","0.191","5.23","80","12","1308.7203002627568"
"Elvish Piper","G","2655","500","0.188","5.31","90","35","1292.9401640783428"
"Exile","W","2671","500","0.187","5.34","74","0","1297.6914915293287"
"Ostracize","B","2695","500","0.186","5.39","85","7","1272.3792061881136"
"Charcoal Diamond","B","2709","500","0.185","5.42","89","0","1347.4331252302516"
"Master Decoy","W","2713","500","0.184","5.43","87","0","1230.0096383453156"
"Feral Shadow","B","2719","500","0.184","5.44","88","45","1221.7006621568737"
"Zombify","B","2722","500","0.184","5.44","90","6","1310.4733141467282"
"Nevinyrral's Disk","","2765","500","0.181","5.53","88","0","1297.1654423247528"
"Mutilate","B","2772","500","0.180","5.54","85","0","1214.235714260111"
"Mogg Fanatic","R","2780","500","0.180","5.56","86","0","1285.3475639870896"
"Ankh of Mishra","","2791","500","0.179","5.58","91","0","1289.1990348474906"
"Elvish Pioneer","G","2819","500","0.177","5.64","96","1","1276.4440840231198"
"Star Compass","","2830","500","0.177","5.66","103","0","1320.8510980094106"
"Gravedigger","B","2855","500","0.175","5.71","107","0","1279.2186784736182"
"Phyrexian Plaguelord","B","2855","500","0.175","5.71","94","0","1302.8950611813423"
"Mogg Flunkies","R","2867","500","0.174","5.73","90","0","1249.1647483928757"
"Sky Diamond","U","2868","500","0.174","5.74","96","0","1295.3273128869089"
"Black Vise","","2884","500","0.173","5.77","109","3","1370.7695190261165"
"Fire Diamond","R","2884","500","0.173","5.77","114","0","1343.326419388747"
"Relentless Assault","R","2897","500","0.173","5.79","107","0","1261.0145583840185"
"Clone","U","2904","500","0.172","5.81","91","0","1242.0077230494685"
"Soltari Foot Soldier","W","2906","500","0.172","5.81","105","0","1207.7841950882757"
"Longbow Archer","W","2909","500","0.172","5.82","108","0","1156.5409841596493"
"Disenchant","W","2914","500","0.172","5.83","105","0","1237.713043471638"
"Goblin Matron","R","2960","500","0.169","5.92","113","0","1250.1367991739655"
"Earthquake","R","2974","500","0.168","5.95","117","0","1291.4189100682445"
"Ash Barrens","","23971","4000","0.167","5.99","794","0","1356.7305156441232"
"Final Fortune","R","2998","500","0.167","6.00","121","0","1179.6305783780053"
"Orcish Artillery","R","3018","500","0.166","6.04","105","0","1198.4560383299008"
"Battlefield Forge","RW","6108","1000","0.164","6.11","244","0","1234.804611729765"
"Reprisal","W","3075","500","0.163","6.15","116","0","1258.5554544987651"
"Ancient Craving","B","3087","500","0.162","6.17","121","0","1219.592130477413"
"Phyrexian Gargantua","B","3111","500","0.161","6.22","115","0","1250.773624682061"
"Unsummon","U","3144","500","0.159","6.29","102","0","1304.9479596666918"
"Moss Diamond","G","3159","500","0.158","6.32","135","0","1228.8760137104816"
"Sisay's Ring","","3163","500","0.158","6.33","157","21","1218.7702418911708"
"Elvish Archers","G","3167","500","0.158","6.33","126","0","1238.6389862282497"
"Merfolk Looter","U","3185","500","0.157","6.37","136","0","1305.7505031049545"
"Meekstone","","3199","500","0.156","6.40","129","0","1287.329197877028"
"Festering Goblin","B","3200","500","0.156","6.40","127","0","1218.4913254546038"
"Cruel Edict","B","3207","500","0.156","6.41","146","24","1329.7254557172391"
"Suntail Hawk","W","3238","500","0.154","6.48","138","0","1159.769635205791"
"Hell's Caretaker","B","3241","500","0.154","6.48","143","1","1250.527522190758"
"Air Elemental","U","3288","500","0.152","6.58","139","6","1288.5788603819765"
"Spiketail Hatchling","U","3306","500","0.151","6.61","134","0","1244.4474494344595"
"Counsel of the Soratami","U","3316","500","0.151","6.63","157","26","1267.8765724328318"
"Viridian Shaman","G","3325","500","0.150","6.65","147","0","1221.552748824084"
"Orcish Oriflamme","R","3332","500","0.150","6.66","137","0","1193.089573070735"
"Goblin King","R","3336","500","0.150","6.67","153","31","1194.7694312583874"
"Seeker of Skybreak","G","3395","500","0.147","6.79","161","0","1202.4539224242799"
"Phantom Monster","U","3412","500","0.147","6.82","162","0","1298.6731158720002"
"Instill Energy","G","3432","500","0.146","6.86","145","0","1128.213148389032"
"Ambition's Cost","B","3495","500","0.143","6.99","160","0","1247.4814467758272"
"Immolation","R","3501","500","0.143","7.00","153","0","1239.7638048834303"
"Dakmor Lancer","B","3531","500","0.142","7.06","179","19","1298.5574810838325"
"Leonin Skyhunter","W","3537","500","0.141","7.07","176","0","1175.0121249501462"
"Raging Goblin","R","3539","500","0.141","7.08","158","0","1216.479895125618"
"Ball Lightning","R","3540","500","0.141","7.08","167","7","1180.694169268056"
"Chastise","W","3555","500","0.141","7.11","170","0","1231.7011454950998"
"Infantry Veteran","W","3558","500","0.141","7.12","177","0","1141.1641223897589"
"Juggernaut","","3575","500","0.140","7.15","179","0","1286.2106811382996"
"Gaea's Herald","G","3577","500","0.140","7.15","179","2","1194.770915650809"
"Sage Owl","U","3587","500","0.139","7.17","178","0","1257.4686995429056"
"Adarkar Wastes","UW","7213","1000","0.139","7.21","370","0","1265.0891847805767"
"Prodigal Sorcerer","U","3609","500","0.139","7.22","171","0","1298.1010729982165"
"Curiosity","U","3627","500","0.138","7.25","177","0","1186.792632460969"
"Sneaky Homunculus","U","3627","500","0.138","7.25","217","24","1099.563077121691"
"Tundra Wolves","W","3631","500","0.138","7.26","178","0","1146.8868072947666"
"Desert Twister","G","3666","500","0.136","7.33","178","0","1167.39265440807"
"Bad Moon","B","3672","500","0.136","7.34","181","1","1176.1004955524224"
"Time Ebb","U","3693","500","0.135","7.39","182","1","1293.1692457306103"
"Ray of Command","U","3701","500","0.135","7.40","173","0","1249.8576095580736"
"Enfeeblement","B","3721","500","0.134","7.44","219","27","1212.6934855119425"
"Gift of Estates","W","3736","500","0.134","7.47","203","0","1138.4154492504615"
"Pegasus Charger","W","3738","500","0.134","7.48","187","0","1187.8676271356128"
"Manabarbs","R","3766","500","0.133","7.53","196","0","1135.0433531410913"
"Goblin War Drums","R","3780","500","0.132","7.56","194","0","1133.9555296021204"
"Hurricane","G","3783","500","0.132","7.57","198","0","1205.9969093556756"
"Fallen Angel","B","3791","500","0.132","7.58","197","0","1223.6311092204262"
"Angel of Mercy","W","3791","500","0.132","7.58","198","0","1126.3788769668458"
"Volcanic Dragon","R","3796","500","0.132","7.59","202","0","1257.5321029582199"
"Sacrifice","B","3800","500","0.132","7.60","191","0","1194.1557065784373"
"Polymorph","U","3839","500","0.130","7.68","231","39","1233.520860469114"
"Goblin Grenade","R","3841","500","0.130","7.68","186","0","1189.9891932107646"
"Winds of Change","R","3847","500","0.130","7.69","201","0","1255.953502554914"
"Merchant of Secrets","U","3856","500","0.130","7.71","223","10","1261.443553835789"
"Staunch Defenders","W","3860","500","0.130","7.72","207","0","1134.8193586352502"
"Scryb Sprites","G","3865","500","0.129","7.73","205","0","1218.2488758945444"
"Death Stroke","B","3872","500","0.129","7.74","216","1","1222.2302437266885"
"Holy Strength","W","3877","500","0.129","7.75","215","0","1107.3762981817001"
"Yavimaya Wurm","G","3899","500","0.128","7.80","244","31","1153.8920534905214"
"Nightmare","B","3921","500","0.128","7.84","202","0","1171.2414934696922"
"Underworld Dreams","B","3930","500","0.127","7.86","214","3","1218.4406795462403"
"Jalum Tome","","3961","500","0.126","7.92","229","0","1190.3388370999144"
"Benalish Knight","W","3992","500","0.125","7.98","224","0","1157.5975563403395"
"Call of the Wild","G","4023","500","0.124","8.05","242","43","1142.1641367728773"
"Venerable Monk","W","4027","500","0.124","8.05","233","0","1138.3248384450208"
"Vengeance","W","4051","500","0.123","8.10","235","1","1203.938880035114"
"Underground River","BU","8111","1000","0.123","8.11","444","0","1289.1340432313964"
"Elvish Champion","G","4074","500","0.123","8.15","223","10","1242.566253302595"
"Spitting Earth","R","4084","500","0.122","8.17","245","8","1226.793659333856"
"Lava Axe","R","4087","500","0.122","8.17","237","0","1214.713054541936"
"Owl Familiar","U","4096","500","0.122","8.19","236","0","1298.0377582891597"
"Hollow Dogs","B","4100","500","0.122","8.20","258","2","1089.2829998971854"
"Righteous Charge","W","4101","500","0.122","8.20","242","4","1128.5919587279839"
"Kavu Climber","G","4136","500","0.121","8.27","239","0","1245.2889953491317"
"Dehydration","U","4142","500","0.121","8.28","260","13","1194.0055963543666"
"Caves of Koilos","BW","8307","1000","0.120","8.31","493","0","1201.8114407973915"
"Yavimaya Coast","GU","8418","1000","0.119","8.42","482","0","1194.6335452607389"
"Inspiration","U","4219","500","0.119","8.44","250","0","1277.9231157423944"
"War Mammoth","G","4225","500","0.118","8.45","243","0","1187.5944630742233"
"Threaten","R","4229","500","0.118","8.46","257","0","1153.6139139853801"
"Resurrection","W","4246","500","0.118","8.49","255","0","1167.4581437703682"
"Naturalize","G","4248","500","0.118","8.50","247","0","1217.1956921141061"
"Lava Hounds","R","4335","500","0.115","8.67","256","0","1211.5571053165702"
"Ghitu Fire-Eater","R","4349","500","0.115","8.70","283","8","1123.5310545255982"
"The Rack","","4358","500","0.115","8.72","276","0","1169.4148977506027"
"Shivan Reef","RU","8765","1000","0.114","8.77","536","0","1251.5919413402166"
"Pride of Lions","G","4386","500","0.114","8.77","306","16","1155.1413026290618"
"Coercion","B","4396","500","0.114","8.79","274","0","1185.506208828772"
"Diving Griffin","W","4430","500","0.113","8.86","279","0","1182.6151553151808"
"Inspirit","W","4443","500","0.113","8.89","303","10","1087.2927623297567"
"Smoldering Crater","R","9003","1000","0.111","9.00","576","0","1187.9223787531473"
"Thorn Elemental","G","4514","500","0.111","9.03","264","0","1193.498105382987"
"Blanchwood Armor","G","4523","500","0.111","9.05","262","0","1128.113350026594"
"Brushland","GW","9095","1000","0.110","9.10","572","0","1212.1523553353475"
"Impatience","R","4551","500","0.110","9.10","319","7","1113.0604947513743"
"Elvish Warrior","G","4556","500","0.110","9.11","285","0","1114.6068762589578"
"Drifting Meadow","W","9115","1000","0.110","9.12","611","0","1184.6476509541565"
"Lord of the Pit","B","4559","500","0.110","9.12","277","0","1170.8919849764216"
"Divine Offering","W","4563","500","0.110","9.13","299","0","1130.371077416779"
"Wind Drake","U","4577","500","0.109","9.15","300","0","1158.383497162992"
"Cloudchaser Eagle","W","4592","500","0.109","9.18","288","0","1112.8493200746489"
"Balduvian Horde","R","4618","500","0.108","9.24","292","0","1186.44301747268"
"Dragon Whelp","R","4643","500","0.108","9.29","298","0","1236.1061947958472"
"Yavimaya Enchantress","G","4649","500","0.108","9.30","291","0","1100.1150447029343"
"Goblin General","R","4650","500","0.108","9.30","287","0","1203.1142744142876"
"Strands of Night","B","4652","500","0.107","9.30","296","0","1171.4301855948718"
"Polluted Mire","B","9311","1000","0.107","9.31","595","0","1192.5186891788521"
"Seasoned Marshal","W","4663","500","0.107","9.33","318","0","1134.5216034537034"
"Unholy Strength","B","4667","500","0.107","9.33","292","0","1113.9124761051644"
"Death Pit Offering","B","4679","500","0.107","9.36","339","38","1145.7245000248038"
"Emperor Crocodile","G","4682","500","0.107","9.36","304","1","1169.563110807187"
"Vesuvan Doppelganger","U","4685","500","0.107","9.37","314","0","1250.4678434324028"
"Wild Griffin","W","4699","500","0.106","9.40","309","1","1184.369829604676"
"Coastal Piracy","U","4704","500","0.106","9.41","307","1","1253.7499043919395"
"Goblin Chariot","R","4707","500","0.106","9.41","304","4","1138.1704475582071"
"Blood Lust","R","4722","500","0.106","9.44","301","0","1169.5020689615649"
"Jester's Cap","","4756","500","0.105","9.51","340","0","1176.9125693278195"
"Lhurgoyf","G","4786","500","0.104","9.57","299","0","1160.9314636362549"
"Thicket Basilisk","G","4798","500","0.104","9.60","304","0","1127.2917464406407"
"Phyrexian Ghoul","B","4806","500","0.104","9.61","307","0","1205.2457197701285"
"Tar Pit Warrior","B","4830","500","0.104","9.66","334","3","1133.1089393921498"
"Rootbreaker Wurm","G","4840","500","0.103","9.68","332","0","1124.7386905587755"
"Imaginary Pet","U","4849","500","0.103","9.70","355","1","1067.8601338253438"
"Sulfurous Springs","BR","9714","1000","0.103","9.71","636","0","1268.545440022264"
"Tidal Kraken","U","4858","500","0.103","9.72","341","10","1146.8283434781517"
"Giant Growth","G","4876","500","0.103","9.75","319","0","1137.008770690872"
"Foul Imp","B","4889","500","0.102","9.78","317","0","1100.336668889237"
"Glory Seeker","W","4889","500","0.102","9.78","345","0","1079.6194144622043"
"Phantom Warrior","U","4897","500","0.102","9.79","338","0","1153.276584874763"
"Nether Shadow","B","4898","500","0.102","9.80","317","0","1202.8574980221508"
"Vicious Hunger","B","4904","500","0.102","9.81","321","1","1228.8884087834642"
"King Cheetah","G","4905","500","0.102","9.81","363","4","1104.500997526633"
"Archangel","W","4933","500","0.101","9.87","347","1","1196.2098949231388"
"Serra Advocate","W","4948","500","0.101","9.90","346","1","1135.3918411277234"
"Severed Legion","B","4961","500","0.101","9.92","329","0","1169.2371013625907"
"Killer Bees","G","4965","500","0.101","9.93","329","0","1080.8710894896574"
"Sonic Burst","R","4979","500","0.100","9.96","353","0","1205.0441530241746"
"Highway Robber","B","4981","500","0.100","9.96","360","14","1178.3653944636062"
"Monstrous Growth","G","5012","500","0.100","10.02","382","7","1109.585270767834"
"Shatter","R","5013","500","0.100","10.03","337","0","1174.6198466542849"
"Phyrexian Vault","","5036","500","0.099","10.07","362","1","1155.2731606070038"
"Phantasmal Forces","U","5047","500","0.099","10.09","361","0","1261.1565789188558"
"Snapping Drake","U","5059","500","0.099","10.12","374","4","1194.0684775923091"
"Ekundu Griffin","W","5066","500","0.099","10.13","378","0","1152.208183676158"
"Archivist","U","5069","500","0.099","10.14","341","0","1242.5652044424842"
"Talruum Minotaur","R","5103","500","0.098","10.21","366","0","1164.493894055918"
"Ur-Golem's Eye","","5118","500","0.098","10.24","382","9","1248.7115381070466"
"Onulet","","5121","500","0.098","10.24","377","0","1146.8629390541435"
"Karplusan Forest","GR","10326","1000","0.097","10.33","706","0","1207.5297365201543"
"Aven Cloudchaser","W","5165","500","0.097","10.33","359","0","1160.0036027798847"
"Bloodshot Cyclops","R","5171","500","0.097","10.34","363","0","1162.8022453711917"
"Might of Oaks","G","5182","500","0.096","10.36","346","0","1233.326308504768"
"Brass Herald","","5195","500","0.096","10.39","401","0","1182.455307488805"
"Aven Fisher","U","5214","500","0.096","10.43","383","0","1158.2745781505264"
"Remote Isle","U","10438","1000","0.096","10.44","743","0","1199.0998656390625"
"Junún Efreet","B","5225","500","0.096","10.45","353","0","1178.8899398320862"
"Maniacal Rage","R","5256","500","0.095","10.51","365","0","1034.2376789541843"
"Slippery Karst","G","10536","1000","0.095","10.54","718","0","1173.8427023366016"
"Ethereal Champion","W","5283","500","0.095","10.57","403","1","1105.813929201268"
"Tariff","W","5284","500","0.095","10.57","391","0","1178.869470002327"
"Righteousness","W","5291","500","0.095","10.58","386","0","1040.7151455657797"
"Anarchist","R","5291","500","0.095","10.58","376","0","1100.9581008573641"
"Llanowar Wastes","BG","10586","1000","0.094","10.59","715","0","1200.391213797881"
"Keldon Warlord","R","5297","500","0.094","10.59","368","0","1116.7829681563956"
"Bone Harvest","B","5322","500","0.094","10.64","378","0","1162.4937408835553"
"Rain of Blades","W","5326","500","0.094","10.65","400","1","1121.438819338826"
"Ashen Powder","B","5351","500","0.093","10.70","391","3","1215.4642917720055"
"Tawnos's Weaponry","","5369","500","0.093","10.74","418","0","1112.5139574883844"
"Amber Prison","","5388","500","0.093","10.78","415","7","1179.5325171216766"
"Sindbad","U","5413","500","0.092","10.83","383","0","1214.6710276331642"
"Relearn","U","5421","500","0.092","10.84","402","0","1193.9734421450057"
"Divine Transformation","W","5432","500","0.092","10.86","396","0","1067.872809857479"
"Hulking Cyclops","R","5435","500","0.092","10.87","412","0","1102.211075545251"
"Apprentice Wizard","U","5448","500","0.092","10.90","383","0","1191.5501586911284"
"Goblin Commando","R","5449","500","0.092","10.90","407","0","1224.0816654768244"
"Avatar of Hope","W","5517","500","0.091","11.03","401","1","1087.4223725457766"
"Stampede","G","5518","500","0.091","11.04","399","5","1158.8596974449808"
"Vampire Bats","B","5524","500","0.091","11.05","374","0","1113.5543986374723"
"Thran Golem","","5527","500","0.090","11.05","424","0","1116.7170230769548"
"Lure","G","5538","500","0.090","11.08","371","0","1076.1910715978802"
"Bloodfire Colossus","R","5538","500","0.090","11.08","401","0","1118.6970642717276"
"Daring Apprentice","U","5547","500","0.090","11.09","405","0","1159.5246124848159"
"Elvish Lyrist","G","5552","500","0.090","11.10","384","0","1149.2897587202312"
"Fervor","R","5556","500","0.090","11.11","404","0","1235.4893828552872"
"Wand of Denial","","5563","500","0.090","11.13","429","0","1218.0762513052318"
"Fire Elemental","R","5577","500","0.090","11.15","393","0","1149.9816410848575"
"Deflection","U","5584","500","0.090","11.17","417","1","1177.912075055705"
"Phyrexian Hulk","","5612","500","0.089","11.22","435","12","1127.4511561315549"
"Looming Shade","B","5668","500","0.088","11.34","413","1","1121.7838898722448"
"Goblin Brigand","R","5679","500","0.088","11.36","396","0","1150.226875312529"
"Grafted Skullcap","","5712","500","0.088","11.42","436","0","1209.0533002658174"
"Phyrexian Colossus","","5713","500","0.088","11.43","423","0","1240.9543487717585"
"Mawcor","U","5734","500","0.087","11.47","445","1","1183.930585686589"
"Maggot Carrier","B","5795","500","0.086","11.59","417","0","1069.0803241334959"
"Fodder Cannon","","5821","500","0.086","11.64","447","0","1090.7295887153325"
"Nausea","B","5823","500","0.086","11.65","431","0","1136.8823948953743"
"Howl from Beyond","B","5825","500","0.086","11.65","409","0","1145.0989072367936"
"Mogg Sentry","R","5842","500","0.086","11.68","420","0","1113.754163919236"
"Amrou Kithkin","W","5846","500","0.086","11.69","414","0","1060.2927267289929"
"Invisibility","U","5847","500","0.086","11.69","429","0","1101.6049083156609"
"Veteran Cavalier","W","5861","500","0.085","11.72","452","0","1129.5433314488757"
"Pygmy Pyrosaur","R","5872","500","0.085","11.74","447","0","1048.8404669270233"
"Ancestral Memories","U","5879","500","0.085","11.76","431","5","1194.4056433136047"
"Collective Unconscious","G","5888","500","0.085","11.78","416","0","1139.5290780642515"
"Carrion Ants","B","5895","500","0.085","11.79","428","0","1114.3361864736544"
"Vizzerdrix","U","5911","500","0.085","11.82","450","0","1164.1961467169174"
"Seraph","W","5940","500","0.084","11.88","441","0","1161.3810949548176"
"Natural Affinity","G","5948","500","0.084","11.90","446","1","1107.3486902783882"
"Slate of Ancestry","","5951","500","0.084","11.90","466","0","1250.7669914435407"
"Metamorphosis","G","6046","500","0.083","12.09","441","2","1147.7337509062334"
"Dragon Engine","","6046","500","0.083","12.09","465","0","1163.6588426764"
"Treetop Bracers","G","6093","500","0.082","12.19","449","0","1090.8814072712694"
"Energy Tap","U","6124","500","0.082","12.25","464","0","1170.244196219768"
"Elven Riders","G","6181","500","0.081","12.36","439","0","1080.9435293502527"
"Wind Dancer","U","6211","500","0.081","12.42","467","0","1123.6541010083054"
"Angelic Blessing","W","6247","500","0.080","12.49","475","0","1061.4613176962469"
"Llanowar Behemoth","G","6282","500","0.080","12.56","466","1","1090.8466668448698"
"Eye for an Eye","W","6336","500","0.079","12.67","461","0","967.5724520004148"
"Symbiosis","G","6343","500","0.079","12.69","455","0","1070.2788292652278"
"Blessing","W","6380","500","0.078","12.76","461","0","1018.6467383499418"
"Goblin Glider","R","6397","500","0.078","12.79","474","0","1109.8103354185034"
"Lone Wolf","G","6507","500","0.077","13.01","477","0","1050.1385664600405"
"Living Terrain","G","6508","500","0.077","13.02","471","0","1087.9891475147538"
"Colossus of Sardia","","6556","500","0.076","13.11","481","0","1171.0459183932373"
"Crafty Pathmage","U","6644","500","0.075","13.29","489","0","1080.237137044015"
"Warrior's Honor","W","6651","500","0.075","13.30","486","0","1025.6417263003345"
"Blinding Light","W","6653","500","0.075","13.31","484","0","1019.3332502417356"
"Firebreathing","R","6669","500","0.075","13.34","470","0","1013.0196259363674"
"Sandstorm","G","6690","500","0.075","13.38","479","0","1015.6899927729512"
"Death Ward","W","6697","500","0.075","13.39","490","0","979.999110929474"
"Storm Shaman","R","6814","500","0.073","13.63","490","0","1126.5743709131525"
"Trumpeting Armodon","G","6951","500","0.072","13.90","493","0","1097.8596299626429"
"Sunken City","U","7047","500","0.071","14.09","499","0","1037.4607430683907"
"Tawnos's Wand","","7052","500","0.071","14.10","496","0","1043.742549708113"
"Jandor's Saddlebags","","7159","500","0.070","14.32","499","0","1037.1669900930674"
