"Name","Color Identity","Times Seen","Times Picked","Pick Rate","Avg Pick Position","Wheel Count","P1P1 Count","Elo"
"Bonesplitter","","2469","432","0.175","5.72","89","2","1309.2794103413792"
"Twisted Abomination","B","2435","426","0.175","5.72","80","0","1284.1446738692953"
"Capsize","U","2318","405","0.175","5.72","93","54","1341.3025962457014"
"Sunlance","W","2355","410","0.174","5.74","90","0","1353.2683637548084"
"Accorder Paladin","W","2413","420","0.174","5.75","79","0","1276.6669065150506"
"Rampant Growth","G","2416","420","0.174","5.75","92","4","1348.5922153316988"
"Wall of Roots","G","2401","417","0.174","5.76","85","3","1319.4767862925821"
"Stormblood Berserker","R","2370","410","0.173","5.78","83","1","1183.2554768872424"
"Wall of Omens","W","2413","415","0.172","5.81","93","0","1301.696537760691"
"Avacyn's Pilgrim","GW","2500","427","0.171","5.85","96","5","1309.0916252993022"
"Murderous Redcap","BR","2525","430","0.170","5.87","120","59","1347.6249363310262"
"Sinkhole","B","2457","417","0.170","5.89","115","54","1289.4496805283663"
"Fire // Ice","RU","2465","418","0.170","5.90","105","2","1323.3563716738056"
"Far // Away","BU","2501","424","0.170","5.90","94","0","1271.9490683616873"
"Looter il-Kor","U","2500","419","0.168","5.97","101","9","1319.4337194296754"
"Boros Charm","RW","2623","435","0.166","6.03","104","0","1268.1096236546193"
"Dryad Militant","GW","2496","409","0.164","6.10","107","0","1262.8902541940936"
"Man-o'-War","U","2583","423","0.164","6.11","111","4","1335.1973975818"
"Pacifism","W","2559","419","0.164","6.11","105","0","1329.0127695798003"
"Bloodbraid Elf","GR","2599","424","0.163","6.13","141","69","1306.6676525600221"
"Dance of the Dead","B","2631","425","0.162","6.19","136","77","1438.6853203669991"
"Knight of Meadowgrain","W","2665","430","0.161","6.20","100","0","1214.5175886271138"
"Mnemonic Wall","U","2552","411","0.161","6.21","118","22","1311.6863087944516"
"Fireball","R","2615","421","0.161","6.21","138","43","1388.9886654346903"
"Liliana's Specter","B","2762","441","0.160","6.26","111","0","1318.3058024063048"
"Elves of Deep Shadow","BG","2565","409","0.159","6.27","113","3","1286.5651106424482"
"Yavimaya Elder","G","2712","432","0.159","6.28","110","1","1309.9817027614486"
"Necromancy","B","2739","436","0.159","6.28","123","37","1505.5424431566626"
"Deep Analysis","U","2691","426","0.158","6.32","113","2","1340.9750121180282"
"Firebolt","R","2692","426","0.158","6.32","108","0","1359.621883645412"
"Wall of Blossoms","G","2689","425","0.158","6.33","119","0","1329.6878401085767"
"Rakdos Cackler","BR","2633","416","0.158","6.33","113","0","1250.1916992581919"
"Faith's Fetters","W","2691","424","0.158","6.35","109","0","1295.347751831054"
"Rift Bolt","R","2575","405","0.157","6.36","110","2","1288.1590888859052"
"Wasteland","","2665","419","0.157","6.36","117","1","1522.5956257286882"
"Krosan Tusker","G","2667","419","0.157","6.37","110","0","1313.1931815461323"
"Exclude","U","2674","420","0.157","6.37","111","0","1399.953755410242"
"Arc Lightning","R","2695","420","0.156","6.42","115","6","1324.7980084540834"
"Repulse","U","2753","428","0.155","6.43","114","0","1360.7581293015398"
"Soltari Monk","W","2644","411","0.155","6.43","115","0","1145.8517860523898"
"Dinrova Horror","BU","2768","426","0.154","6.50","129","4","1281.6146550685517"
"Urban Evolution","GU","2747","422","0.154","6.51","123","1","1200.5064965199272"
"Marsh Flitter","B","2762","424","0.154","6.51","125","0","1243.2146538762472"
"Agony Warp","BU","2717","417","0.153","6.52","117","0","1164.8200973240996"
"Mist Raven","U","2719","417","0.153","6.52","119","3","1323.7508245276138"
"Search for Tomorrow","G","2845","435","0.153","6.54","116","6","1312.7618685113143"
"Loxodon Warhammer","","2718","414","0.152","6.57","141","23","1323.6714417196647"
"Avalanche Riders","R","2647","403","0.152","6.57","135","9","1305.2607576472672"
"Dissipate","U","2812","425","0.151","6.62","131","0","1344.5841041356887"
"Diabolic Servitude","B","2856","430","0.151","6.64","135","25","1298.7643118658323"
"Goldmeadow Harrier","W","2843","428","0.151","6.64","133","0","1178.605735898645"
"Unearth","B","2738","411","0.150","6.66","123","0","1298.4865070633823"
"Into the Roil","U","2787","418","0.150","6.67","133","0","1305.3464524765884"
"Syndic of Tithes","W","2873","430","0.150","6.68","128","1","1223.3046855471046"
"Mesmeric Fiend","B","2800","418","0.149","6.70","127","0","1335.0651712261308"
"Regrowth","G","2788","416","0.149","6.70","132","0","1344.6537483452246"
"Crystal Shard","U","2779","413","0.149","6.73","144","38","1316.5940916831628"
"Propaganda","U","2842","422","0.148","6.73","152","40","1352.2232355272922"
"Ninja of the Deep Hours","U","2800","412","0.147","6.80","146","21","1282.7569810575417"
"Confiscate","U","2834","416","0.147","6.81","150","19","1305.1070993431726"
"Crypt Rats","B","2938","431","0.147","6.82","138","19","1331.9061932849484"
"Sea Gate Oracle","U","2828","414","0.146","6.83","135","0","1316.418329453551"
"Overgrown Battlement","G","2935","429","0.146","6.84","133","1","1336.4608358729495"
"Searing Blaze","R","2978","435","0.146","6.85","139","0","1287.0922969021372"
"Tragic Slip","B","2845","415","0.146","6.86","135","0","1332.6428164461522"
"Kor Skyfisher","W","2723","397","0.146","6.86","120","0","1289.978455832379"
"Carrion Feeder","B","2865","417","0.146","6.87","130","0","1280.326598781581"
"Harm's Way","W","2920","424","0.145","6.89","146","0","1228.7648540629039"
"Tidehollow Sculler","BW","2900","420","0.145","6.90","140","0","1236.7759749738623"
"Reassembling Skeleton","B","2833","409","0.144","6.93","138","0","1274.6617302564464"
"Compulsive Research","U","2942","423","0.144","6.96","154","2","1302.2512926929749"
"Gideon's Lawkeeper","W","2943","423","0.144","6.96","143","0","1221.2145876512159"
"Jade Mage","G","2962","423","0.143","7.00","149","2","1203.3646250198296"
"Acidic Slime","G","3019","429","0.142","7.04","141","0","1258.9767555667063"
"Beast Within","G","3027","429","0.142","7.06","158","0","1324.478401651888"
"Condescend","U","3098","438","0.141","7.07","158","0","1380.3441887734746"
"Civic Wayfinder","G","2994","423","0.141","7.08","147","0","1288.9676113833843"
"Ghitu Slinger","R","2947","416","0.141","7.08","147","0","1305.7415168830007"
"Master Splicer","W","2929","413","0.141","7.09","146","0","1284.7343659763744"
"Goblin Shortcutter","R","3057","431","0.141","7.09","134","0","1226.4421759456932"
"Midnight Haunting","W","2952","416","0.141","7.10","140","0","1260.1208843356646"
"Ashes to Ashes","B","2954","416","0.141","7.10","156","1","1333.7863739796169"
"Shrine of Loyal Legions","","3000","422","0.141","7.11","165","0","1260.1493847977645"
"Enslave","B","3009","422","0.140","7.13","157","2","1229.217725699623"
"Soltari Trooper","W","2968","416","0.140","7.13","139","0","1210.3280068714228"
"Keening Banshee","B","2983","417","0.140","7.15","157","0","1285.8398652992446"
"Psionic Blast","U","2991","418","0.140","7.16","156","6","1346.8104753697846"
"Electrolyze","RU","3095","431","0.139","7.18","162","2","1312.906512547303"
"Ulamog's Crusher","","3057","425","0.139","7.19","172","10","1261.9192846135086"
"Fire Imp","R","3099","430","0.139","7.21","159","0","1328.013401190724"
"Mistral Charger","W","3032","420","0.139","7.22","147","0","1227.8120853461387"
"Shardless Agent","GU","3086","427","0.138","7.23","160","12","1207.141518118573"
"Rancor","G","3094","428","0.138","7.23","168","4","1320.1208244991558"
"Makeshift Mannequin","B","3019","417","0.138","7.24","169","0","1307.7191296317258"
"Harmonize","G","3122","431","0.138","7.24","150","0","1253.8178610753064"
"Temporal Isolation","W","3000","413","0.138","7.26","157","0","1274.4472131852954"
"Mortify","BW","2975","408","0.137","7.29","152","0","1226.8982567405494"
"Vendetta","B","3066","419","0.137","7.32","158","0","1312.5596920363118"
"Trygon Predator","GU","3075","420","0.137","7.32","155","0","1144.1761517744433"
"Stormfront Pegasus","W","3044","415","0.136","7.33","154","0","1208.4487377307428"
"Doomed Traveler","W","3132","426","0.136","7.35","160","0","1221.721678558539"
"Simic Growth Chamber","GU","3129","425","0.136","7.36","159","0","1223.2564303613303"
"Kaervek's Torch","R","2945","400","0.136","7.36","165","12","1332.1874631710566"
"Archaeomancer","U","3078","418","0.136","7.36","168","0","1318.0737415841254"
"Dimir Aqueduct","BU","3075","415","0.135","7.41","165","0","1240.3017680346502"
"Azorius Guildmage","UW","3142","422","0.134","7.45","173","0","1173.8645667425378"
"Careful Study","U","3159","424","0.134","7.45","173","21","1324.830068513851"
"Goblin Bombardment","R","3116","418","0.134","7.45","178","25","1302.5608349158072"
"Centaur Glade","G","3156","420","0.133","7.51","167","1","1286.3188341366892"
"Prismatic Lens","","3269","434","0.133","7.53","181","5","1330.2256064606838"
"Pelakka Wurm","G","3136","416","0.133","7.54","178","6","1240.401826202295"
"Falkenrath Noble","B","3270","433","0.132","7.55","172","0","1232.8705375896848"
"Brimstone Volley","R","3302","437","0.132","7.56","180","0","1369.9102169693213"
"Blastoderm","G","3175","419","0.132","7.58","166","0","1272.106385792913"
"Boggart Ram-Gang","GR","3274","432","0.132","7.58","169","0","1196.8560462364057"
"Unburial Rites","BW","3190","419","0.131","7.61","180","4","1302.7585086459046"
"Pristine Talisman","","3211","421","0.131","7.63","190","6","1227.3718963574916"
"Celestial Crusader","W","3290","431","0.131","7.63","177","0","1172.1681312161277"
"Attended Knight","W","3238","423","0.131","7.65","173","0","1217.5954608101445"
"Cage of Hands","W","3319","430","0.130","7.72","181","0","1253.080210506698"
"Augur of Bolas","U","3274","424","0.130","7.72","169","0","1323.7925656289501"
"Firespout","GR","3181","411","0.129","7.74","187","2","1213.4907675443687"
"Belfry Spirit","W","3196","411","0.129","7.78","173","0","1227.201303012594"
"Simic Guildgate","GU","3228","415","0.129","7.78","163","0","1198.2434586906074"
"Glimmerpoint Stag","W","3358","431","0.128","7.79","185","0","1284.2408401512594"
"Experiment One","G","3311","423","0.128","7.83","185","7","1276.4713679399686"
"Keldon Marauders","R","3359","429","0.128","7.83","177","0","1250.525764491462"
"Fireblast","R","3279","417","0.127","7.86","177","0","1254.3856331259224"
"Mind Stone","","3348","424","0.127","7.90","199","1","1353.3395180975017"
"Artisan of Kozilek","","3417","431","0.126","7.93","204","5","1248.833570802349"
"Bituminous Blast","BR","3334","420","0.126","7.94","209","32","1267.2077348861694"
"Forbidden Alchemy","BU","3337","420","0.126","7.95","183","0","1256.998462456647"
"Berserk","G","3406","427","0.125","7.98","207","28","1298.4446975105207"
"Wing Splicer","U","3380","419","0.124","8.07","194","2","1265.5334629828274"
"Aether Adept","U","3253","402","0.124","8.09","188","0","1274.8950412401143"
"Psychatog","BU","3511","433","0.123","8.11","195","12","1275.5299343817433"
"Cloudshift","W","3386","417","0.123","8.12","201","0","1244.8311399584416"
"Mogg War Marshal","R","3503","430","0.123","8.15","203","0","1290.481830108938"
"Probe","BU","3506","429","0.122","8.17","198","0","1249.2654588325324"
"Terminate","BR","3499","425","0.121","8.23","211","0","1280.1433918675132"
"Seaside Citadel","GUW","3530","428","0.121","8.25","205","0","1268.353322371956"
"Viridian Emissary","G","3286","398","0.121","8.26","183","0","1301.0231553096967"
"Apostle's Blessing","W","3485","422","0.121","8.26","229","0","1204.555799866157"
"Talrand's Invocation","U","3447","417","0.121","8.27","215","6","1290.7046954539114"
"Diregraf Ghoul","B","3498","423","0.121","8.27","199","0","1180.7376980752306"
"Ribbons of Night","BU","3421","413","0.121","8.28","187","0","1218.2353977666587"
"Bestial Menace","G","3540","426","0.120","8.31","199","0","1199.4057202655213"
"Burning-Tree Emissary","GR","3537","425","0.120","8.32","207","0","1298.8348875995985"
"Pyroclasm","R","3622","435","0.120","8.33","219","1","1279.6223468035494"
"Bloodthrone Vampire","B","3459","415","0.120","8.33","189","0","1208.366824079515"
"Momentary Blink","UW","3610","433","0.120","8.34","211","0","1182.3025473614584"
"Kruin Striker","R","3457","413","0.119","8.37","201","0","1168.8028717643406"
"Merfolk Looter","U","3577","427","0.119","8.38","212","0","1313.870674049861"
"Vivid Creek","U","3552","424","0.119","8.38","215","0","1271.544743059928"
"City of Brass","","3559","424","0.119","8.39","217","0","1452.8382303733792"
"Viridian Shaman","G","3577","426","0.119","8.40","214","0","1217.3016876202016"
"Jilt","RU","3478","414","0.119","8.40","203","1","1237.1690984761908"
"Clone","U","3575","424","0.119","8.43","227","0","1261.9792204411096"
"Arrest","W","3484","413","0.119","8.44","207","0","1282.5104342312911"
"Hearthfire Hobgoblin","RW","3505","415","0.118","8.45","198","0","1210.708580803775"
"Turn // Burn","RU","3551","420","0.118","8.45","215","0","1223.7575268039889"
"Shrine of Burning Rage","","3679","434","0.118","8.48","236","26","1174.4762721234135"
"Rakdos Shred-Freak","BR","3567","419","0.117","8.51","216","0","1227.3523807948047"
"Mask of Memory","","3600","422","0.117","8.53","221","0","1276.2071600681847"
"Axebane Guardian","G","3534","414","0.117","8.54","201","0","1263.6763842772614"
"Stonecloaker","W","3626","424","0.117","8.55","230","0","1198.8098562216042"
"Trusty Machete","","3585","419","0.117","8.56","210","0","1279.3084870442456"
"Terramorphic Expanse","","3540","413","0.117","8.57","231","0","1437.6118274277712"
"Phyrexian Gargantua","B","3412","398","0.117","8.57","202","0","1251.1286255983312"
"Briarhorn","G","3490","407","0.117","8.57","205","0","1190.4267492547333"
"Perilous Myr","","3569","415","0.116","8.60","236","0","1323.145895058819"
"Enlisted Wurm","GW","3607","419","0.116","8.61","215","0","1179.5419326755475"
"Beetleback Chief","R","3693","428","0.116","8.63","220","2","1288.0084755314817"
"Molten Rain","R","3693","427","0.116","8.65","223","0","1247.600502346655"
"Orzhov Basilica","BW","3645","421","0.116","8.66","229","0","1213.4818253379915"
"Evolving Wilds","","3717","429","0.115","8.66","251","0","1381.8554889258653"
"Intangible Virtue","W","3602","415","0.115","8.68","223","3","1178.2130839356585"
"Narcolepsy","U","3585","413","0.115","8.68","230","0","1228.8652937397464"
"Explosive Vegetation","G","3691","425","0.115","8.68","215","0","1328.0835328169824"
"Arcane Sanctum","BUW","3743","429","0.115","8.72","229","0","1301.189747013034"
"Hellspark Elemental","R","3700","422","0.114","8.77","223","0","1230.7580500367421"
"Ember Hauler","R","3675","419","0.114","8.77","216","0","1185.5803757594401"
"Vivid Marsh","B","3785","431","0.114","8.78","229","0","1321.1759675401206"
"Elite Vanguard","W","3760","426","0.113","8.83","240","0","1204.1136492001847"
"Enclave Cryptologist","U","3770","427","0.113","8.83","238","0","1226.5754784662995"
"Skyknight Legionnaire","RW","3675","414","0.113","8.88","223","0","1142.6419732707302"
"Mogg Fanatic","R","3793","427","0.113","8.88","237","0","1271.2764083546374"
"Icy Manipulator","","3749","422","0.113","8.88","255","4","1352.3490312705487"
"Azorius Chancery","UW","3730","417","0.112","8.94","234","0","1214.5479193818323"
"Moan of the Unhallowed","B","3866","429","0.111","9.01","245","0","1219.934506817956"
"Cloistered Youth","BW","3812","423","0.111","9.01","241","0","1163.0328079812882"
"Qasali Pridemage","GW","3839","423","0.110","9.08","241","0","1104.3125209835434"
"Thrull Parasite","B","3878","426","0.110","9.10","232","0","1208.021456850849"
"Kor Hookmaster","W","3792","415","0.109","9.14","244","0","1193.7350113436485"
"Jackal Pup","R","3940","431","0.109","9.14","233","0","1211.780710755651"
"Dauthi Horror","B","3896","424","0.109","9.19","252","0","1237.81756557527"
"Trostani's Summoner","GW","3795","413","0.109","9.19","260","0","1219.6586601953325"
"Okiba-Gang Shinobi","B","3851","419","0.109","9.19","234","0","1228.9824184785818"
"Seraph of Dawn","W","3912","425","0.109","9.20","253","0","1221.5392546384362"
"Mutagenic Growth","G","3965","430","0.108","9.22","263","0","1171.476528517442"
"Binding Grasp","U","3904","423","0.108","9.23","277","0","1322.9064880022331"
"Zealous Persecution","BW","3783","409","0.108","9.25","240","0","1131.646828318491"
"Putrefy","BG","3825","413","0.108","9.26","256","0","1212.9292249506684"
"Viashino Firstblade","RW","3948","424","0.107","9.31","253","0","1139.2838395357041"
"Thornweald Archer","G","4023","432","0.107","9.31","258","0","1192.696883091794"
"River Boa","G","3937","422","0.107","9.33","252","0","1271.0066920413376"
"Behemoth Sledge","GW","4037","429","0.106","9.41","261","0","1185.5894364328485"
"Otherworldly Journey","W","3902","414","0.106","9.43","258","0","1227.942015743886"
"Vital Splicer","G","3892","412","0.106","9.45","258","0","1190.9561320377845"
"Mortarpod","","3983","421","0.106","9.46","271","0","1225.3906660958712"
"Fervent Cathar","R","4164","440","0.106","9.46","274","0","1134.7304066632869"
"Loyal Cathar","BW","4052","428","0.106","9.47","265","0","1164.1488388294515"
"Plated Geopede","R","3891","410","0.105","9.49","259","0","1192.8864703182119"
"Strangleroot Geist","G","4075","427","0.105","9.54","261","1","1216.000907297459"
"Compulsion","U","3999","419","0.105","9.54","266","0","1209.0831851636713"
"Slice and Dice","R","4161","435","0.105","9.57","282","5","1266.4050882137635"
"Grizzly Fate","G","4075","424","0.104","9.61","269","0","1222.4196595353703"
"Orzhov Guildgate","BW","3941","410","0.104","9.61","258","0","1180.4204308577403"
"Phantom Centaur","G","3988","414","0.104","9.63","260","0","1233.3964782018397"
"Pierce Strider","","3996","414","0.104","9.65","290","0","1186.9427005126056"
"Shaper Parasite","U","3933","407","0.103","9.66","267","0","1167.6667767496908"
"Frenzied Goblin","R","4215","436","0.103","9.67","261","0","1172.4256351100848"
"Mishra's Factory","","4061","420","0.103","9.67","290","0","1269.6887076527623"
"Careful Consideration","U","4190","433","0.103","9.68","284","0","1273.7520302725443"
"Deputy of Acquittals","UW","4055","419","0.103","9.68","271","0","1100.4305698980659"
"Elixir of Immortality","","4131","425","0.103","9.72","296","0","1251.2210861522844"
"Jungle Barrier","GU","4184","430","0.103","9.73","253","0","1181.7024305754846"
"Vivid Grove","G","4049","416","0.103","9.73","274","0","1295.7435144762821"
"Carnophage","B","4147","426","0.103","9.73","276","1","1171.991903715225"
"Barter in Blood","B","4071","418","0.103","9.74","268","0","1231.5439610419692"
"Jungle Shrine","GRW","4102","421","0.103","9.74","278","0","1221.1003908330958"
"Knight of Infamy","B","4180","427","0.102","9.79","291","0","1169.7659771367812"
"Boros Guildgate","RW","4134","422","0.102","9.80","272","0","1155.5087852181182"
"Ancient Hydra","R","4334","442","0.102","9.81","310","0","1147.9449979563133"
"Kami of Ancient Law","W","4168","425","0.102","9.81","286","0","1179.5438838492064"
"Fledgling Djinn","B","4228","431","0.102","9.81","287","0","1200.7006473072395"
"Wild Nacatl","G","4206","428","0.102","9.83","283","5","1187.9618375691018"
"Errant Ephemeron","U","4216","429","0.102","9.83","295","2","1220.5033904757313"
"Infest","B","4119","419","0.102","9.83","280","0","1219.4780749469796"
"Boros Garrison","RW","4205","427","0.102","9.85","291","0","1227.2205431499094"
"Gruul Turf","GR","4146","421","0.102","9.85","278","0","1166.1437604548591"
"Dauthi Slayer","B","4012","407","0.101","9.86","251","0","1182.5510545007485"
"Withdraw","U","4198","425","0.101","9.88","291","0","1251.4412125074346"
"Tattermunge Maniac","GR","4138","417","0.101","9.92","289","0","1251.372062535086"
"Thornscape Battlemage","GRW","4299","433","0.101","9.93","296","0","1141.6794392624454"
"Shower of Coals","R","4113","414","0.101","9.93","273","0","1286.7342528636348"
"Flame Javelin","R","4244","427","0.101","9.94","283","0","1228.7460089959059"
"Indrik Stomphowler","G","4264","429","0.101","9.94","283","0","1196.2654490630614"
"Dominate","U","4165","419","0.101","9.94","293","0","1241.7017653561456"
"Nezumi Cutthroat","B","4276","430","0.101","9.94","290","0","1209.7662674259748"
"Crumbling Necropolis","BRU","4153","417","0.100","9.96","282","0","1245.7797123842126"
"Maze of Ith","","4193","421","0.100","9.96","306","0","1264.0294496538982"
"Cartel Aristocrat","BW","4201","421","0.100","9.98","266","0","1104.043851172905"
"Ghor-Clan Rampager","GR","4176","418","0.100","9.99","283","0","1148.778499047393"
"Act of Aggression","R","4129","413","0.100","10.00","289","0","1194.6343672758776"
"Hissing Iguanar","R","4356","435","0.100","10.01","288","0","1237.672460758216"
"Wolfir Avenger","G","4244","423","0.100","10.03","274","0","1172.9685658090136"
"Nantuko Husk","B","4094","408","0.100","10.03","271","0","1188.8920126955584"
"Gemstone Mine","","4290","427","0.100","10.05","332","0","1314.892275927487"
"Faerie Conclave","U","4381","434","0.099","10.09","303","0","1241.8451534257067"
"Willbender","U","4368","432","0.099","10.11","309","0","1161.6427003937663"
"Izzet Guildgate","RU","4289","422","0.098","10.16","285","0","1197.7529590074564"
"Gore-House Chainwalker","R","4279","421","0.098","10.16","282","0","1203.5339748436543"
"Nantuko Vigilante","G","4281","421","0.098","10.17","284","0","1186.5225049285268"
"Miraculous Recovery","W","4393","432","0.098","10.17","317","0","1157.8174513877098"
"Deadwood Treefolk","G","4272","420","0.098","10.17","281","0","1195.2162065411671"
"Overrun","G","4212","414","0.098","10.17","275","0","1195.8744208517699"
"Pyreheart Wolf","R","4374","429","0.098","10.20","302","0","1158.5755295159238"
"Thieving Magpie","U","4325","424","0.098","10.20","301","0","1273.9508734086965"
"Manic Vandal","R","4203","412","0.098","10.20","282","0","1169.7921772000745"
"Vivid Meadow","W","4209","412","0.098","10.22","301","0","1270.8331771959686"
"Dimir Keyrune","BU","4424","432","0.098","10.24","300","0","1125.7532699610565"
"Selesnya Sanctuary","GW","4364","425","0.097","10.27","304","0","1167.3583393811125"
"Calciderm","W","4272","416","0.097","10.27","292","0","1215.8599713423703"
"Savage Lands","BGR","4468","435","0.097","10.27","307","0","1254.745179922473"
"Vampire Lacerator","B","4308","419","0.097","10.28","290","0","1148.509789672996"
"Lyev Skyknight","UW","4319","420","0.097","10.28","283","0","1156.8576435448683"
"Treetop Village","G","4451","429","0.096","10.38","310","0","1226.4981867256922"
"Juggernaut","","4483","432","0.096","10.38","332","0","1270.2284852243486"
"Stonewright","R","4430","423","0.095","10.47","299","0","1116.531291028226"
"Chimeric Idol","","4352","414","0.095","10.51","329","0","1205.1315126786287"
"Jetting Glasskite","U","4332","410","0.095","10.57","315","0","1171.698232648991"
"Kird Ape","R","4377","414","0.095","10.57","300","0","1188.7214027366194"
