"Name","Color Identity","Times Seen","Times Picked","Pick Rate","Avg Pick Position","Wheel Count","P1P1 Count","Elo"
"Unburial Rites","BW","903","117","0.130","","","","1156"
"Ogre Battledriver","R","891","77","0.086","","","","1154"
"Honor of the Pure","W","995","70","0.070","","","","962"
"Sword of Feast and Famine","","721","148","0.205","","","","1581"
"Isolated Chapel","BW","833","109","0.131","","","","1347"
"Vapor Snag","U","766","74","0.097","","","","1371"
"Splinter Twin","R","658","95","0.144","","","","1365"
"Sun Titan","W","864","115","0.133","","","","1263"
"Champion of the Parish","W","867","87","0.100","","","","1150"
"Mutagenic Growth","G","910","49","0.054","","","","953"
"Siege-Gang Commander","R","880","131","0.149","","","","1252"
"Ultimate Price","B","206","24","0.117","","","","1318"
"Gut Shot","R","752","62","0.082","","","","1268"
"Bloodline Keeper","B","793","128","0.161","","","","1311"
"Zealous Conscripts","R","713","100","0.140","","","","1256"
"Blackcleave Cliffs","BR","736","77","0.105","","","","1249"
"Jungle Shrine","GRW","926","110","0.119","","","","1218"
"Blade Splicer","W","757","146","0.193","","","","1503"
"Mimic Vat","","842","83","0.099","","","","1268"
"Inquisition of Kozilek","B","543","100","0.184","","","","1432"
"Terminus","W","829","116","0.140","","","","1480"
"Aether Adept","U","893","77","0.086","","","","1279"
"Sacred Foundry","RW","1223","187","0.153","","","","1422"
"Bloodghast","B","831","76","0.091","","","","1040"
"Lavaclaw Reaches","BR","745","96","0.129","","","","1257"
"Sea Gate Oracle","U","775","96","0.124","","","","1492"
"Duress","B","660","93","0.141","","","","1387"
"Simic Charm","GU","851","44","0.052","","","","924"
"Knight of the Reliquary","GW","758","85","0.112","","","","1179"
"Arid Mesa","","574","127","0.221","","","","1551"
"Faithless Looting","R","829","111","0.134","","","","1178"
"Hellrider","R","760","79","0.104","","","","1185"
"Sword of War and Peace","","790","102","0.129","","","","1304"
"Sorin, Lord of Innistrad","BW","779","117","0.150","","","","1369"
"Bloodthrone Vampire","B","1046","95","0.091","","","","1002"
"Thragtusk","G","701","158","0.225","","","","1536"
"Goblin Guide","R","600","80","0.133","","","","1346"
"Stormblood Berserker","R","326","26","0.080","","","","1113"
"Grave Titan","B","648","139","0.215","","","","1445"
"Koth of the Hammer","R","931","86","0.092","","","","1179"
"Spellskite","U","758","74","0.098","","","","1324"
"Essence Scatter","U","601","83","0.138","","","","1546"
"Falkenrath Aristocrat","BR","825","85","0.103","","","","1097"
"Crypt Ghast","B","892","89","0.100","","","","1101"
"Frost Titan","U","740","85","0.115","","","","1209"
"Chandra, the Firebrand","R","711","62","0.087","","","","1296"
"Phantasmal Image","U","679","77","0.113","","","","1561"
"Evolving Wilds","","777","111","0.143","","","","1391"
"Selesnya Charm","GW","395","38","0.096","","","","1027"
"Dissipate","U","745","89","0.119","","","","1465"
"Preordain","U","488","99","0.203","","","","1562"
"Negate","U","546","59","0.108","","","","1458"
"Celestial Colonnade","UW","698","130","0.186","","","","1520"
"Baneslayer Angel","W","812","152","0.187","","","","1475"
"Mana Leak","U","467","100","0.214","","","","1579"
"Time Warp","U","528","69","0.131","","","","1437"
"Izzet Charm","RU","705","58","0.082","","","","1207"
"Wall of Omens","W","833","131","0.157","","","","1554"
"Sylvan Ranger","G","736","73","0.099","","","","1195"
"Dragon Fodder","R","932","81","0.087","","","","1104"
"Cartel Aristocrat","BW","986","78","0.079","","","","911"
"Shrine of Burning Rage","","957","60","0.063","","","","1090"
"Precinct Captain","W","897","80","0.089","","","","1167"
"Fauna Shaman","G","911","113","0.124","","","","1155"
"Tamiyo, the Moon Sage","U","560","83","0.148","","","","1605"
"Delver of Secrets","U","874","74","0.085","","","","1121"
"Turn // Burn","","730","64","0.088","","","","1297"
"Pillar of Flame","R","705","86","0.122","","","","1207"
"Brimstone Volley","R","818","102","0.125","","","","1325"
"Master of the Wild Hunt","G","713","103","0.144","","","","1228"
"Birthing Pod","G","738","77","0.104","","","","1185"
"Flinthoof Boar","GR","835","75","0.090","","","","1104"
"Solemn Simulacrum","","693","115","0.166","","","","1476"
"Assemble the Legion","RW","893","93","0.104","","","","1200"
"Thought Scour","U","788","66","0.084","","","","1320"
"Rhox War Monk","GUW","1137","113","0.099","","","","1099"
"Glacial Fortress","UW","763","105","0.138","","","","1390"
"Jace Beleren","U","592","76","0.128","","","","1491"
"Go for the Throat","B","613","139","0.227","","","","1527"
"Timely Reinforcements","W","838","101","0.121","","","","1345"
"Nature's Claim","G","884","51","0.058","","","","1077"
"Experiment One","G","829","84","0.101","","","","1180"
"Coralhelm Commander","U","948","63","0.066","","","","1147"
"Goblin Bushwhacker","R","948","84","0.089","","","","1089"
"Bonfire of the Damned","R","660","94","0.142","","","","1300"
"Rancor","G","912","129","0.141","","","","1235"
"Broodmate Dragon","BGR","887","107","0.121","","","","1205"
"Young Pyromancer","R","626","93","0.149","","","","1286"
"Creeping Tar Pit","BU","628","71","0.113","","","","1388"
"Tidehollow Sculler","BW","838","100","0.119","","","","1081"
"Tragic Slip","B","879","123","0.140","","","","1262"
"Vampire Nighthawk","B","745","105","0.141","","","","1348"
"Think Twice","U","704","71","0.101","","","","1363"
"Marsh Flats","","535","125","0.234","","","","1494"
"Joraga Treespeaker","G","513","68","0.133","","","","1383"
"Emeria Angel","W","872","101","0.116","","","","1295"
"Guttersnipe","R","861","87","0.101","","","","1290"
"Aurelia, the Warleader","RW","929","81","0.087","","","","979"
"Dreadbore","BR","658","91","0.138","","","","1242"
"Hypnotic Specter","B","736","91","0.124","","","","1347"
"Rakdos Cackler","BR","863","75","0.087","","","","1171"
"Copperline Gorge","GR","770","87","0.113","","","","1142"
"Sheoldred, Whispering One","B","822","93","0.113","","","","1229"
"Azorius Charm","UW","326","48","0.147","","","","1406"
"Gatekeeper of Malakir","B","891","90","0.101","","","","1111"
"Restoration Angel","W","799","144","0.180","","","","1504"
"Detention Sphere","UW","663","68","0.103","","","","1366"
"Sign in Blood","B","839","87","0.104","","","","1150"
"Legion Loyalist","R","303","29","0.096","","","","1216"
"Flame Slash","R","579","87","0.150","","","","1409"
"Craterhoof Behemoth","G","603","67","0.111","","","","1301"
"Mizzium Mortars","R","188","26","0.138","","","","1332"
"Curiosity","U","952","60","0.063","","","","957"
"Sphinx's Revelation","UW","778","131","0.168","","","","1528"
"Angelic Destiny","W","865","77","0.089","","","","1190"
"Blightning","BR","825","120","0.145","","","","1176"
"Overgrown Tomb","BG","1140","179","0.157","","","","1305"
"Spell Pierce","U","629","75","0.119","","","","1524"
"Liliana Vess","B","726","93","0.128","","","","1397"
"Thundermaw Hellkite","R","712","112","0.157","","","","1365"
"Karn Liberated","","639","84","0.131","","","","1549"
"Far // Away","","710","64","0.090","","","","1306"
"Blue Sun's Zenith","U","834","64","0.077","","","","1245"
"Raging Ravine","GR","768","111","0.145","","","","1175"
"Syncopate","U","695","95","0.137","","","","1570"
"Enclave Cryptologist","U","803","62","0.077","","","","1166"
"Elvish Mystic","G","516","96","0.186","","","","1480"
"Steel Hellkite","","944","94","0.100","","","","1133"
"Grim Lavamancer","R","772","96","0.124","","","","1201"
"Vampire Hexmage","B","917","58","0.063","","","","953"
"Hallowed Fountain","UW","997","156","0.156","","","","1545"
"Unsummon","U","749","65","0.087","","","","1267"
"Ratchet Bomb","","875","79","0.090","","","","1332"
"Breeding Pool","GU","995","87","0.087","","","","1202"
"Verdant Catacombs","","542","107","0.197","","","","1467"
"Ghost Quarter","","732","92","0.126","","","","1240"
"Burst Lightning","R","654","101","0.154","","","","1303"
"Explore","G","717","67","0.093","","","","1234"
"Boros Elite","W","875","73","0.083","","","","1088"
"Drowned Catacomb","BU","656","65","0.099","","","","1383"
"Forked Bolt","R","636","92","0.145","","","","1349"
"Elvish Visionary","G","242","19","0.079","","","","1236"
"Dryad Militant","GW","765","56","0.073","","","","996"
"Supreme Verdict","UW","752","126","0.168","","","","1524"
"Ghor-Clan Rampager","GR","804","91","0.113","","","","1162"
"Consecrated Sphinx","U","592","97","0.164","","","","1582"
"Acidic Slime","G","810","80","0.099","","","","1182"
"Sprouting Thrinax","BGR","1092","133","0.122","","","","1003"
"Wolfir Silverheart","G","888","97","0.109","","","","1203"
"Crumbling Necropolis","BRU","763","70","0.092","","","","1173"
"Mayor of Avabruck","G","793","82","0.103","","","","1156"
"Seaside Citadel","GUW","803","89","0.111","","","","1173"
"Snapcaster Mage","U","387","84","0.217","","","","1700"
"Garruk Wildspeaker","G","603","101","0.167","","","","1473"
"Pithing Needle","","828","49","0.059","","","","1086"
"Everflowing Chalice","","807","83","0.103","","","","1197"
"Llanowar Elves","G","523","97","0.185","","","","1399"
"Eldrazi Monument","","834","65","0.078","","","","1065"
"Batterskull","","637","127","0.199","","","","1515"
"Seachrome Coast","UW","689","82","0.119","","","","1427"
"Unflinching Courage","GW","782","71","0.091","","","","967"
"Temporal Mastery","U","637","76","0.119","","","","1465"
"Augur of Bolas","U","732","63","0.086","","","","1224"
"Izzet Staticaster","RU","976","69","0.071","","","","1038"
"Qasali Pridemage","GW","812","94","0.116","","","","1036"
"Gitaxian Probe","U","484","59","0.122","","","","1325"
"Expedition Map","","854","59","0.069","","","","1234"
"Mind Control","U","624","53","0.085","","","","1323"
"Lingering Souls","BW","767","133","0.173","","","","1277"
"Hero of Bladehold","W","713","114","0.160","","","","1268"
"Cultivate","G","717","93","0.130","","","","1281"
"Deathrite Shaman","BG","566","112","0.198","","","","1555"
"Harrow","G","809","87","0.108","","","","1049"
"Disfigure","B","750","84","0.112","","","","1366"
"Dragonskull Summit","BR","737","101","0.137","","","","1303"
"Pack Rat","B","578","103","0.178","","","","1396"
"Mortarpod","","840","57","0.068","","","","956"
"Woodland Cemetery","BG","838","115","0.137","","","","1318"
"Sulfur Falls","RU","613","54","0.088","","","","1229"
"Jace, the Mind Sculptor","U","357","101","0.283","","","","1746"
"Rampant Growth","G","797","119","0.149","","","","1232"
"Invisible Stalker","U","963","67","0.070","","","","1116"
"Avacyn's Pilgrim","GW","696","116","0.167","","","","1282"
"Noble Hierarch","GUW","407","85","0.209","","","","1449"
"Arbor Elf","G","618","88","0.142","","","","1298"
"Urban Evolution","GU","798","44","0.055","","","","1055"
"Inferno Titan","R","830","132","0.159","","","","1254"
"Scalding Tarn","","403","76","0.189","","","","1454"
"Gravecrawler","B","197","14","0.071","","","","1070"
"Ponder","U","448","87","0.194","","","","1512"
"Terramorphic Expanse","","751","98","0.130","","","","1326"
"Arcane Sanctum","BUW","824","109","0.132","","","","1356"
"Cyclonic Rift","U","447","56","0.125","","","","1539"
"Temple Garden","GW","1099","154","0.140","","","","1175"
"Diregraf Ghoul","B","920","69","0.075","","","","970"
"Putrid Leech","BG","965","128","0.133","","","","1167"
"Prime Speaker Zegana","GU","870","66","0.076","","","","1035"
"Gyre Sage","G","763","76","0.100","","","","1201"
"Green Sun's Zenith","G","605","74","0.122","","","","1376"
"Liliana of the Veil","B","405","97","0.240","","","","1592"
"Journey to Nowhere","W","829","150","0.181","","","","1434"
"Lightning Bolt","R","350","109","0.311","","","","1751"
"Fiend Hunter","W","931","122","0.131","","","","1313"
"Misty Rainforest","","435","78","0.179","","","","1464"
"Birds of Paradise","G","387","97","0.251","","","","1582"
"Earthquake","R","805","59","0.073","","","","1124"
"Eldrazi Conscription","","1009","78","0.077","","","","1184"
"Rite of Replication","U","142","13","0.092","","","","1206"
"Plated Geopede","R","915","82","0.090","","","","1150"
"Skirsdag High Priest","B","839","67","0.080","","","","988"
"Stoneforge Mystic","W","509","103","0.202","","","","1482"
"Chandra's Phoenix","R","728","63","0.087","","","","1178"
"Sovereigns of Lost Alara","UW","1229","129","0.105","","","","1118"
"Awakening Zone","G","128","13","0.102","","","","1211"
"Distortion Strike","U","885","52","0.059","","","","812"
"Oust","W","214","30","0.140","","","","1364"
"Dismember","B","576","137","0.238","","","","1613"
"Molten-Tail Masticore","","818","54","0.066","","","","1006"
"Pristine Talisman","","733","67","0.091","","","","1267"
"Abundant Growth","G","768","54","0.070","","","","1026"
"Consume the Meek","B","825","91","0.110","","","","1135"
"Banisher Priest","W","786","90","0.115","","","","1353"
"Geth's Verdict","B","757","70","0.092","","","","1143"
"Searing Blaze","R","754","72","0.095","","","","1216"
"Pilgrim's Eye","","792","76","0.096","","","","1079"
"Champion of Lambholt","G","805","83","0.103","","","","1112"
"Domri Rade","GR","735","77","0.105","","","","1255"
"Sphere of the Suns","","757","80","0.106","","","","1296"
"Scute Mob","G","921","81","0.088","","","","979"
"Nivix Cyclops","RU","850","47","0.055","","","","947"
"Crystal Ball","","868","58","0.067","","","","1067"
"Searing Spear","R","557","98","0.176","","","","1391"
"Shrine of Loyal Legions","","930","63","0.068","","","","1085"
"Loam Lion","W","696","49","0.070","","","","1002"
"Cancel","U","637","71","0.111","","","","1390"
"Chromatic Lantern","","747","84","0.112","","","","1267"
"Porcelain Legionnaire","W","735","84","0.114","","","","1238"
"Olivia Voldaren","BR","670","72","0.107","","","","1091"
"Arc Trail","R","652","92","0.141","","","","1343"
"Cruel Ultimatum","BRU","771","56","0.073","","","","1141"
"Hex Parasite","B","904","78","0.086","","","","1131"
"Fleshbag Marauder","B","815","78","0.096","","","","1168"
"Windswept Heath","","537","113","0.210","","","","1535"
"Stirring Wildwood","GW","784","88","0.112","","","","1152"
"Gore-House Chainwalker","R","908","74","0.081","","","","1123"
"Xathrid Necromancer","B","894","63","0.070","","","","925"
"Banefire","R","729","62","0.085","","","","1195"
"Darksteel Ingot","","805","75","0.093","","","","1106"
"Nicol Bolas, Planeswalker","BRU","720","64","0.089","","","","1343"
"Steppe Lynx","W","998","98","0.098","","","","1043"
"Sunblast Angel","W","993","111","0.112","","","","1193"
"Kor Skyfisher","W","954","100","0.105","","","","1234"
"Wooded Foothills","","498","111","0.223","","","","1514"
"Flooded Strand","","457","99","0.217","","","","1622"
"Prophetic Prism","","773","79","0.102","","","","1250"
"Slagstorm","R","692","60","0.087","","","","1213"
"Forbidden Alchemy","BU","772","63","0.082","","","","1163"
"Apostle's Blessing","W","849","67","0.079","","","","1077"
"Tezzeret's Gambit","U","788","59","0.075","","","","1072"
"Palladium Myr","","793","57","0.072","","","","1124"
"Stromkirk Noble","R","766","80","0.104","","","","1147"
"Wild Nacatl","G","762","63","0.083","","","","1204"
"Runechanter's Pike","","683","45","0.066","","","","1084"
"Bloodstained Mire","","439","71","0.162","","","","1432"
"Ambush Viper","G","252","24","0.095","","","","1222"
"Vault Skirge","B","857","72","0.084","","","","1118"
"Polluted Delta","","396","68","0.172","","","","1455"
"Sphinx of the Steel Wind","BUW","928","80","0.086","","","","1259"
"Fling","R","871","45","0.052","","","","986"
"Quirion Dryad","G","786","71","0.090","","","","1126"
"Ob Nixilis, the Fallen","B","899","82","0.091","","","","1135"
"Omnath, Locus of Mana","G","640","54","0.084","","","","1101"
"See Beyond","U","713","74","0.104","","","","1350"
"Botanical Sanctum","GU","639","42","0.066","","","","1107"
"Concealed Courtyard","BW","762","93","0.122","","","","1309"
"Sphinx of Lost Truths","U","803","61","0.076","","","","1135"
"Inspiring Vantage","RW","759","78","0.103","","","","1154"
"Spirebluff Canal","RU","593","51","0.086","","","","1404"
"Blooming Marsh","BG","741","75","0.101","","","","1272"
"Krenko's Command","R","825","69","0.084","","","","1086"
"Guul Draz Assassin","B","684","77","0.113","","","","1227"
"Ash Zealot","R","756","59","0.078","","","","1160"
"Rampaging Baloths","G","744","85","0.114","","","","1210"
"Elite Vanguard","W","900","81","0.090","","","","1027"
"Wolfbriar Elemental","G","705","72","0.102","","","","1234"
"Village Bell-Ringer","W","894","71","0.079","","","","1082"
"Gilded Lotus","","717","71","0.099","","","","1315"
"Increasing Devotion","W","874","95","0.109","","","","1281"
"Shardless Agent","GU","547","43","0.079","","","","1027"
"Baleful Strix","BU","420","58","0.138","","","","1355"
"Mortify","BW","731","91","0.124","","","","1224"
"Ancient Grudge","GR","638","51","0.080","","","","1133"
"Wear // Tear","","639","59","0.092","","","","1159"
"Reclamation Sage","G","548","55","0.100","","","","1165"
"Hero's Downfall","B","412","54","0.131","","","","1289"
"Torch Fiend","R","644","58","0.090","","","","1084"
"Courier's Capsule","U","689","54","0.078","","","","1170"
"Vexing Devil","R","169","10","0.059","","","","1113"
"Akrasan Squire","W","263","17","0.065","","","","945"
"Tormented Soul","B","252","12","0.048","","","","1030"
"Prey Upon","G","256","21","0.082","","","","1076"
"Garruk Relentless","BG","170","19","0.112","","","","1265"
"Gideon's Lawkeeper","W","248","26","0.105","","","","1131"
"Adarkar Wastes","UW","139","29","0.209","","","","1450"
"Underground River","BU","109","10","0.092","","","","1225"
"Shivan Reef","RU","97","12","0.124","","","","1305"
"Battlefield Forge","RW","160","20","0.125","","","","1297"
"Sulfurous Springs","BR","112","8","0.071","","","","1229"
"Yavimaya Coast","GU","114","8","0.070","","","","1124"
"Llanowar Wastes","BG","148","17","0.115","","","","1183"
"Brushland","GW","156","13","0.083","","","","1155"
"Caves of Koilos","BW","145","19","0.131","","","","1275"
"Karplusan Forest","GR","130","11","0.085","","","","1248"
